Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
C,I,2,4R,0,0,6,0,0,
C,S,2,4R,0,1,5,0,0,
C,T,2,4R,4,0,5,0,0,
C,J,2,4R,2,0,5,0,0,
C,L,2,4R,0,5,0,0,0,
C,O,2,4R,0,3,0,0,0,
C,T,2,4R,5,1,1,0,0,
C,Z,2,4R,0,1,4,0,0,
C,L,2,4R,1,0,0,0,0,
C,J,2,4R,0,2,4,0,0,
C,L,2,4R,0,3,3,0,0,
C,T,2,4R,3,0,0,0,0,
C,S,2,4R,1,2,4,0,0,
C,O,2,4R,4,1,0,0,0,
C,T,2,4R,0,2,3,0,0,
C,L,2,4R,0,2,0,0,0,
C,Z,2,4R,0,2,0,0,0,
C,I,2,4R,1,1,0,0,0,
C,O,2,4R,1,0,0,0,0,
C,I,2,4R,2,0,0,0,0,110.767
C,L,7,4R,0,5,0,0,0,
C,I,7,4R,4,0,0,0,0,
C,S,7,4R,5,3,2,0,0,
C,I,7,4R,5,0,1,0,0,
C,J,7,4R,2,2,0,0,0,
C,S,7,4R,0,2,3,1,1,
C,Z,7,4R,1,0,3,0,1,
C,O,7,4R,1,3,0,0,1,
C,T,7,4R,0,4,1,0,1,
C,I,7,4R,0,4,1,0,1,
C,S,7,4R,2,0,3,0,1,
C,Z,7,4R,0,3,3,0,1,
C,I,7,4R,3,0,1,0,1,
C,Z,7,4R,2,0,1,0,1,
C,T,7,4R,0,3,1,0,1,
C,S,7,4R,0,0,4,0,1,
C,Z,7,4R,4,0,1,0,1,
C,J,7,4R,0,3,1,0,1,
C,T,7,4R,4,0,1,0,1,
C,I,7,4R,0,3,1,0,1,
C,Z,7,4R,2,0,0,0,1,
C,O,7,4R,1,2,0,0,1,
C,Z,7,4R,4,0,1,0,1,
C,T,7,4R,3,0,1,0,1,
C,L,7,4R,2,3,3,0,1,
C,O,7,4R,1,2,0,0,1,
C,J,7,4R,1,1,1,2,3,
C,L,7,4R,0,4,3,1,4,
C,O,7,4R,1,3,0,0,4,
C,I,7,4R,0,0,1,0,4,
C,T,7,4R,0,5,3,2,6,
C,I,7,4R,5,0,1,0,6,
C,Z,7,4R,0,0,1,0,6,
C,T,7,4R,1,1,1,1,7,
C,L,7,4R,0,0,3,0,7,
C,I,7,4R,0,4,1,1,8,
C,L,7,4R,0,4,5,0,8,
C,O,7,4R,0,1,0,1,9,
C,I,7,4R,1,4,1,0,9,
C,Z,7,4R,3,0,4,1,10,
C,I,7,4R,0,2,1,0,10,
C,Z,7,4R,5,0,1,0,10,
C,L,7,4R,0,2,0,0,10,
C,J,7,4R,1,0,7,0,10,
C,T,7,4R,2,0,1,0,10,
C,Z,7,4R,0,0,1,0,10,
C,O,7,4R,0,4,0,0,10,
C,L,7,4R,1,0,3,0,10,
C,T,7,4R,1,1,2,0,10,
C,O,7,4R,0,4,0,0,10,
C,T,7,4R,0,3,3,0,10,
C,O,7,4R,1,0,0,0,10,
C,L,7,4R,0,2,2,0,10,
C,S,7,4R,0,1,1,0,10,
C,T,7,4R,0,0,0,0,10,
C,J,7,4R,0,0,0,0,10,324.9255
C,I,1,4R,0,2,0,0,0,
C,T,1,4R,3,0,0,0,0,
C,I,1,4R,5,0,1,0,0,
C,O,1,4R,0,4,0,0,0,
C,S,1,4R,0,2,0,0,0,
C,O,1,4R,0,4,0,0,0,
C,I,1,4R,0,2,1,0,0,
C,T,1,4R,2,1,2,0,0,
C,Z,1,4R,3,0,3,2,2,
C,S,1,4R,2,3,0,0,2,
C,Z,1,4R,2,0,5,0,2,
C,J,1,4R,0,0,7,0,2,
C,I,1,4R,5,0,1,0,2,
C,L,1,4R,1,0,2,0,2,
C,S,1,4R,1,4,0,0,2,
C,T,1,4R,2,0,0,1,3,
C,O,1,4R,0,4,0,0,3,
C,J,1,4R,0,3,1,0,3,
C,J,1,4R,0,3,3,0,3,
C,T,1,4R,4,0,1,0,3,
C,S,1,4R,0,5,4,0,3,
C,J,1,4R,0,3,1,0,3,
C,T,1,4R,2,0,1,0,3,
