Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
B,S,6,6,4,6,4,0,0,8.128264
B,T,6,6,6,6,1,0,0,15.39739
B,S,6,6,1,3,1,0,0,22.66412
B,I,6,6,5,1,0,0,0,31.14203
B,O,6,6,5,1,0,0,0,38.82711
B,J,6,6,6,5,5,0,0,45.28804
B,S,6,6,2,2,1,0,0,50.95251
B,T,6,6,1,2,0,0,0,55.798
B,O,6,6,4,0,0,0,0,62.66113
B,J,6,6,5,1,3,0,0,68.77155
B,O,6,6,4,3,0,0,0,72.81042
B,J,6,6,1,0,2,0,0,77.25044
B,J,6,6,4,0,3,0,0,82.12138
B,I,6,6,1,3,0,0,0,86.9726
B,L,6,6,0,0,2,0,0,90.29597
B,Z,6,6,1,1,0,0,0,93.52587
B,I,6,6,0,2,3,0,0,96.75727
B,L,6,6,0,0,2,0,0,99.17847
B,T,6,6,1,0,0,0,0,101.197
B,S,6,6,0,1,0,0,0,102.4086
B,I,6,6,0,0,0,0,0,103.6158
B,S,6,6,0,0,0,0,0,111.7198
B,L,7,6,3,0,1,0,0,7.575744
B,I,7,6,2,0,0,0,0,16.05321
B,S,7,6,6,4,3,0,0,23.7515
B,I,7,6,0,2,0,0,0,32.24491
B,J,7,6,4,2,6,1,1,41.16748
B,S,7,6,4,1,1,0,1,48.85262
B,Z,7,6,4,0,0,0,1,55.71652
B,O,7,6,1,5,0,0,1,63.84731
B,T,7,6,2,0,3,0,1,69.90461
B,I,7,6,6,4,1,0,1,76.39225
B,S,7,6,2,2,4,0,1,81.64033
B,Z,7,6,4,2,3,0,1,86.888
B,I,7,6,1,0,1,0,1,90.92622
B,Z,7,6,2,0,1,0,1,94.19656
B,T,7,6,3,1,1,0,1,98.23532
B,S,7,6,3,0,1,0,1,101.8811
B,Z,7,6,2,0,1,0,1,104.3047
B,J,7,6,2,0,1,0,1,105.5149
B,T,7,6,0,0,0,0,1,113.5914
B,T,5,6,4,4,0,0,0,7.94924
B,Z,5,6,1,2,0,0,0,16.05203
B,J,5,6,4,0,0,0,0,24.14131
B,L,5,6,5,4,0,0,0,31.82476
B,I,5,6,6,8,1,0,0,39.12076
B,O,5,6,0,4,0,0,0,47.25075
B,I,5,6,2,3,1,2,2,56.25892
B,T,5,6,3,0,0,0,2,64.38928
B,L,5,6,2,3,5,0,2,72.10048
B,S,5,6,0,3,1,0,2,78.96532
B,T,5,6,4,0,1,0,2,86.24845
B,L,5,6,2,1,5,0,2,93.52769
B,S,5,6,3,0,1,0,2,100.4038
B,J,5,6,1,4,1,0,2,108.4802
B,L,5,6,2,7,5,1,3,116.5552
B,S,5,6,0,3,1,0,3,123.0145
B,T,5,6,3,2,1,0,3,130.296
B,S,5,6,3,0,1,0,3,136.7699
B,I,5,6,1,1,1,0,3,144.4407
B,O,5,6,4,4,0,1,4,152.5154
B,Z,5,6,3,0,1,0,4,159.8521
B,I,5,6,3,0,1,0,4,165.9083
B,L,5,6,2,0,3,0,4,171.5737
B,S,5,6,1,4,1,0,4,177.6845
B,J,5,6,2,3,6,0,4,183.3373
B,S,5,6,0,5,1,0,4,190.2139
B,Z,5,6,3,1,1,2,6,198.3034
B,J,5,6,4,0,0,0,6,203.956
B,L,5,6,2,2,3,0,6,209.609
B,S,5,6,3,1,3,0,6,214.8579
B,Z,5,6,3,0,6,0,6,220.1052
B,L,5,6,2,0,0,0,6,224.1436
B,O,5,6,0,4,0,0,6,230.6028
B,T,5,6,2,2,1,0,6,235.852
B,L,5,6,0,5,5,0,6,241.1012
B,I,5,6,0,4,1,1,7,247.5881
B,T,5,6,3,2,3,0,7,251.2215
B,O,5,6,1,3,0,0,7,256.8876
B,S,5,6,3,1,1,1,8,261.3545
B,L,5,6,1,5,1,0,8,266.1992
B,O,5,6,2,3,0,0,8,271.4625
B,Z,5,6,2,2,0,0,8,275.9305
B,T,5,6,2,0,2,0,8,278.3551
B,I,5,6,0,3,1,0,8,282.8378
B,Z,5,6,1,2,0,0,8,286.8786
B,T,5,6,1,2,2,0,8,289.7138
B,I,5,6,0,1,1,0,8,292.1384
B,O,5,6,1,1,0,0,8,294.1574
B,T,5,6,1,0,1,0,8,295.3692
B,J,5,6,0,0,0,0,8,296.5797
B,O,5,6,0,0,0,0,8,304.6678
B,S,8,6,4,5,2,0,0,8.339049
B,T,8,6,4,3,1,0,0,15.60614
B,S,8,6,1,2,1,0,0,22.87334
B,Z,8,6,3,1,1,0,0,29.33241
B,T,8,6,2,1,1,0,0,34.62168
B,O,8,6,6,2,0,0,0,42.6986
B,J,8,6,3,3,1,0,0,50.78844
B,S,8,6,1,1,1,0,0,55.62987
B,Z,8,6,1,0,3,0,0,59.27873
B,O,8,6,2,6,0,0,0,67.40941
B,S,8,6,1,1,1,0,0,70.23578
