Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
C,L,7,1R,3,0,1,1,1,7.350853
C,I,7,1R,0,4,1,0,1,15.10523
C,S,7,1R,2,0,1,0,1,23.26488
C,I,7,1R,0,3,1,0,1,31.04419
C,J,7,1R,0,1,0,0,1,39.24387
C,S,7,1R,2,2,1,0,1,47.38974
C,Z,7,1R,0,1,0,0,1,55.10238
C,O,7,1R,0,4,0,1,2,63.24751
C,T,7,1R,0,3,3,0,2,70.60953
C,I,7,1R,1,0,1,0,2,77.93499
C,S,7,1R,4,2,1,0,2,85.68956
C,Z,7,1R,1,1,1,1,3,94.69682
C,I,7,1R,2,0,1,0,3,102.4511
C,Z,7,1R,5,0,1,1,4,111.4182
C,T,7,1R,0,1,1,0,4,118.3633
C,S,7,1R,0,3,3,0,4,124.9218
C,Z,7,1R,0,2,1,0,4,132.2427
C,J,7,1R,2,0,3,0,4,140.0119
C,T,7,1R,4,0,1,2,6,148.6027
C,I,7,1R,1,3,1,0,6,155.5221
C,Z,7,1R,0,0,3,0,6,162.0508
C,O,7,1R,0,4,1,0,6,168.9841
C,Z,7,1R,0,1,1,0,6,175.0822
C,T,7,1R,3,0,1,0,6,181.6119
C,L,7,1R,1,0,3,0,6,187.2783
C,O,7,1R,0,4,0,0,6,193.4444
C,J,7,1R,0,2,2,0,6,199.2774
C,L,7,1R,1,0,2,0,6,203.7953
C,O,7,1R,1,1,0,0,6,209.1071
C,I,7,1R,0,0,0,0,6,214.0634
C,T,7,1R,2,0,1,0,6,217.7253
C,I,7,1R,0,0,1,0,6,221.3855
C,Z,7,1R,1,1,0,0,6,223.8094
C,T,7,1R,1,0,3,0,6,226.6739
C,L,7,1R,1,0,4,0,6,228.7084
C,I,7,1R,0,0,1,0,6,230.3526
C,L,7,1R,0,0,0,0,6,231.5784
C,O,7,1R,0,0,0,0,6,239.7219
C,J,4,1R,5,1,0,0,0,7.823986
C,S,4,1R,5,4,1,0,0,15.93987
C,I,4,1R,0,4,1,0,0,23.70877
C,T,4,1R,3,2,1,0,0,30.62842
C,O,4,1R,0,3,0,0,0,38.75843
C,I,4,1R,4,0,1,0,0,46.10984
C,S,4,1R,1,4,3,0,0,54.25451
C,I,4,1R,5,0,1,0,0,61.20122
C,J,4,1R,2,0,3,0,0,68.13403
C,Z,4,1R,4,0,1,0,0,74.23199
C,T,4,1R,1,1,4,0,0,80.0645
C,L,4,1R,0,4,0,0,0,87.52526
C,I,4,1R,4,1,1,0,0,92.01047
C,S,4,1R,1,2,1,0,0,97.38449
C,L,4,1R,2,0,1,0,0,100.2242
C,Z,4,1R,3,2,3,0,0,104.6789
C,O,4,1R,0,4,0,0,0,111.306
C,Z,4,1R,2,3,1,0,0,117.4448
C,T,4,1R,0,3,3,0,0,121.9363
C,L,4,1R,0,2,2,0,0,124.8102
C,O,4,1R,0,2,0,0,0,127.2615
C,Z,4,1R,3,0,1,0,0,130.1147
C,L,4,1R,1,0,0,0,0,131.7438
C,O,4,1R,1,0,1,0,0,133.3861
C,J,4,1R,1,0,0,0,0,134.6117
C,L,4,1R,0,0,0,0,0,142.7687
C,S,6,1R,2,0,0,0,0,7.892908
C,T,6,1R,2,1,0,0,0,15.99583
C,S,6,1R,1,4,2,0,0,24.54396
C,I,6,1R,6,1,1,0,0,31.85362
C,O,6,1R,3,0,0,0,0,39.17673
C,J,6,1R,3,2,1,0,0,46.98581
C,S,6,1R,3,0,1,0,0,53.51597
C,T,6,1R,0,4,3,0,0,60.85326
C,O,6,1R,1,0,1,0,0,68.19035
C,J,6,1R,1,1,6,0,0,75.54089
C,O,6,1R,2,0,0,0,0,82.06977
C,J,6,1R,1,2,2,0,0,89.00307
C,J,6,1R,1,2,4,0,0,94.78093
C,I,6,1R,0,4,1,0,0,102.5066
C,L,6,1R,0,1,3,1,1,109.9117
C,Z,6,1R,2,0,2,0,1,115.7027
C,I,6,1R,0,4,1,0,1,122.276
C,L,6,1R,1,4,4,0,1,127.5395
C,T,6,1R,2,3,0,0,1,132.4256
C,S,6,1R,3,0,1,0,1,138.5495
C,I,6,1R,0,2,1,0,1,142.643
C,S,6,1R,1,3,1,0,1,147.1113
C,O,6,1R,1,0,0,0,1,151.6228
C,S,6,1R,0,1,1,0,1,154.8979
C,Z,6,1R,0,1,1,0,1,158.1396
C,I,6,1R,0,0,1,0,1,160.2105
C,L,6,1R,3,0,1,0,1,164.7667
C,J,6,1R,4,0,1,0,1,169.6679
C,T,6,1R,4,0,1,0,1,172.922
C,J,6,1R,0,0,0,0,1,174.1352
C,T,6,1R,0,0,0,0,1,182.2532
C,T,5,1R,4,0,3,0,0,7.82528
C,Z,5,1R,2,0,2,0,0,16.40072
C,J,5,1R,0,3,1,0,0,24.55898
C,L,5,1R,0,3,5,0,0,32.25873
C,I,5,1R,0,0,1,0,0,39.99807
C,O,5,1R,0,3,0,1,1,49.39705
C,I,5,1R,1,0,1,0,1,57.15078
C,T,5,1R,5,0,4,0,1,64.83617
C,L,5,1R,1,0,1,1,2,73.84356
C,S,5,1R,0,4,4,1,3,83.22469
C,T,5,1R,0,4,3,0,3,90.11869
C,L,5,1R,1,1,3,0,3,97.84518
C,S,5,1R,3,0,1,0,3,106.0729
C,J,5,1R,2,2,5,0,3,113.7994
C,L,5,1R,0,1,5,0,3,120.6766
C,S,5,1R,3,0,1,0,3,128.0278
C,T,5,1R,0,1,1,0,3,134.5575
C,S,5,1R,3,0,1,0,3,141.0861
C,I,5,1R,0,4,1,0,3,148.8549
C,O,5,1R,2,0,0,1,4,157.4309
C,Z,5,1R,0,0,3,1,5,165.5902
C,I,5,1R,0,2,1,0,5,172.9263
C,L,5,1R,2,2,4,1,6,180.7509
C,S,5,1R,3,0,1,0,6,187.6837
C,J,5,1R,0,2,3,0,6,195.0344
C,S,5,1R,0,5,1,0,6,202.858
C,Z,5,1R,0,0,2,1,7,211.003
C,J,5,1R,0,0,2,0,7,217.5278
C,L,5,1R,2,1,1,0,7,223.6996
C,S,5,1R,3,0,2,0,7,230.327
C,Z,5,1R,3,3,2,0,7,236.1039
C,L,5,1R,2,0,5,0,7,241.4212
C,O,5,1R,2,5,0,0,7,247.9798
C,T,5,1R,0,5,3,0,7,253.7275
C,L,5,1R,2,0,3,0,7,257.3911
C,I,5,1R,3,0,1,0,7,261.9685
C,T,5,1R,0,1,1,0,7,266.0233
C,O,5,1R,2,4,0,0,7,271.4242
C,S,5,1R,0,2,1,0,7,275.1136
C,L,5,1R,0,0,1,0,7,279.2073
C,O,5,1R,0,4,0,0,7,284.2044
C,Z,5,1R,0,1,1,0,7,286.6709
C,T,5,1R,4,1,0,0,7,289.5082
C,I,5,1R,2,1,1,0,7,293.2252
C,Z,5,1R,0,3,2,0,7,297.6782
C,T,5,1R,2,0,1,0,7,299.7011
C,I,5,1R,0,0,3,0,7,301.7318
C,O,5,1R,1,0,0,0,7,303.7518
C,T,5,1R,3,0,1,0,7,304.9623
C,J,5,1R,2,0,0,0,7,306.1875
C,J,5,1R,4,0,0,0,7,314.4297
C,Z,5,1R,2,0,0,0,7,322.6024
C,O,5,1R,0,4,1,0,7,330.7329
C,J,5,1R,1,2,1,0,7,338.8914
C,S,5,1R,0,1,1,0,7,347.1445
C,Z,5,1R,4,0,1,1,8,356.5421
C,S,5,1R,0,2,1,0,8,364.799
C,J,5,1R,0,3,1,1,9,374.182
