Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
C,S,6,6,2,2,0,0,0,7.796368
C,T,6,6,3,5,0,0,0,15.8705
C,S,6,6,2,0,0,0,0,23.94567
C,I,6,6,5,1,0,0,0,31.61695
C,O,6,6,0,0,0,0,0,38.88371
C,J,6,6,4,0,0,0,0,45.74781
C,S,6,6,1,0,0,0,0,52.20752
C,T,6,6,2,1,0,0,0,57.85916
C,O,6,6,1,5,0,0,0,65.53027
C,J,6,6,0,2,0,0,0,72.79752
C,O,6,6,1,4,0,0,0,79.66148
C,J,6,6,5,1,0,0,0,84.50626
C,J,6,6,2,4,0,0,0,90.56202
C,I,6,6,0,0,0,0,0,96.21429
C,L,6,6,1,0,0,0,0,101.059
C,Z,6,6,0,3,0,0,0,106.3076
C,I,6,6,0,1,0,1,1,112.7678
C,L,6,6,2,0,0,0,1,117.6126
C,T,6,6,2,2,0,0,1,122.0538
C,S,6,6,2,0,0,0,1,126.4941
C,I,6,6,0,2,0,0,1,131.3389
C,S,6,6,0,1,0,1,2,136.5874
C,O,6,6,0,0,0,0,2,139.8174
C,S,6,6,1,4,0,0,2,142.2398
C,Z,6,6,0,3,0,0,2,143.8549
C,I,6,6,0,0,0,0,2,145.47
C,L,6,6,2,0,0,0,2,149.5075
C,J,6,6,1,0,0,0,2,150.7188
C,T,6,6,0,0,0,0,2,158.7936
C,L,7,6,3,0,1,0,0,7.420701
C,I,7,6,2,0,0,0,0,15.89892
C,S,7,6,1,5,0,0,0,23.97323
C,I,7,6,1,0,0,0,0,32.04802
C,J,7,6,2,5,0,0,0,39.31528
C,S,7,6,1,0,0,0,0,46.98618
C,Z,7,6,1,0,1,0,0,54.25342
C,O,7,6,2,3,2,0,0,60.30969
C,T,7,6,0,3,1,0,0,66.36594
C,I,7,6,0,2,0,0,0,72.01814
C,S,7,6,4,1,1,0,0,79.28554
C,Z,7,6,3,0,2,0,0,86.55257
C,I,7,6,0,2,0,0,0,91.80093
C,Z,7,6,2,0,0,0,0,98.27454
C,T,7,6,3,0,1,0,0,103.927
C,S,7,6,0,0,1,0,0,109.9827
C,Z,7,6,1,0,0,0,0,115.2314
C,J,7,6,4,0,0,0,0,120.0764
C,T,7,6,0,1,1,0,0,124.5174
C,I,7,6,0,2,0,1,1,130.5734
C,Z,7,6,3,0,1,0,1,135.8219
C,O,7,6,0,4,0,0,1,139.8593
C,Z,7,6,4,0,1,0,1,144.7044
C,T,7,6,3,0,1,0,1,148.3382
C,L,7,6,2,5,0,0,1,152.3752
C,O,7,6,1,0,0,0,1,156.4126
C,J,7,6,0,3,0,0,1,159.6427
C,L,7,6,0,2,1,0,1,162.872
C,O,7,6,3,2,0,0,1,166.1024
C,I,7,6,0,3,0,0,1,168.929
C,T,7,6,2,0,2,0,1,171.3511
C,I,7,6,0,1,3,0,1,174.177
C,Z,7,6,0,2,2,0,1,176.5995
C,T,7,6,0,2,1,0,1,178.2147
C,L,7,6,0,1,0,0,1,180.2335
C,I,7,6,0,0,0,0,1,181.4448
C,L,7,6,0,0,0,0,1,189.5195
C,T,5,6,0,5,3,0,0,7.42015
C,Z,5,6,2,3,4,0,0,15.89856
C,J,5,6,5,1,0,0,0,23.97311
C,L,5,6,4,3,0,0,0,31.64429
C,I,5,6,3,2,1,0,0,39.31521
C,O,5,6,5,1,0,0,0,46.58235
C,I,5,6,3,0,3,0,0,53.44618
C,T,5,6,1,4,2,0,0,60.30921
C,L,5,6,0,5,3,1,1,68.38428
C,S,5,6,0,3,1,0,1,75.65147
C,T,5,6,1,0,1,0,1,82.51549
C,L,5,6,0,6,3,0,1,88.97501
C,S,5,6,0,1,1,0,1,95.83859
C,J,5,6,3,0,3,0,1,102.7023
C,L,5,6,0,3,0,0,1,108.7581
C,S,5,6,1,0,1,0,1,114.8141
C,T,5,6,1,2,0,0,1,120.4664
C,S,5,6,0,4,5,0,1,126.1189
C,I,5,6,4,1,3,0,1,130.9635
C,O,5,6,2,1,0,0,1,136.2121
C,Z,5,6,1,1,4,0,1,140.6535
C,I,5,6,3,1,1,0,1,144.6907
C,L,5,6,0,3,0,0,1,148.7281
C,S,5,6,0,1,0,0,1,151.5545
C,J,5,6,0,3,3,0,1,155.1881
C,S,5,6,0,0,0,0,1,157.6103
C,Z,5,6,0,2,0,0,1,159.6292
C,J,5,6,0,2,0,0,1,160.8399
C,L,5,6,0,1,0,0,1,162.4552
C,S,5,6,0,1,0,0,1,163.6667
C,Z,5,6,0,0,0,0,1,171.7412
A,S,8,6,0,5,2,0,0,8.227975
A,T,8,6,0,1,0,0,0,16.30239
A,S,8,6,0,4,0,0,0,23.9737
A,Z,8,6,3,1,0,0,0,31.64497
A,T,8,6,0,1,0,0,0,38.91184
A,O,8,6,4,1,0,0,0,46.98675
A,J,8,6,2,0,0,0,0,53.85017
A,S,8,6,0,4,0,0,0,60.71411
A,Z,8,6,2,1,0,0,0,67.17358
A,O,8,6,5,1,0,0,0,74.44077
A,S,8,6,2,0,0,0,0,80.90038
A,Z,8,6,2,3,1,0,0,86.95627
A,O,8,6,0,4,0,0,0,93.01246
A,L,8,6,0,2,3,0,0,98.66469
A,S,8,6,0,4,0,0,0,103.9134
A,Z,8,6,4,2,0,0,0,109.5656
A,L,8,6,0,2,0,0,0,114.4107
A,I,8,6,1,3,1,0,0,118.4479
A,T,8,6,4,2,0,0,0,123.2927
A,Z,8,6,1,2,3,0,0,127.7337
A,S,8,6,0,2,3,0,0,131.7712
A,L,8,6,2,1,0,0,0,135.8084
A,T,8,6,0,4,2,0,0,138.6346
A,T,8,6,0,3,4,0,0,140.6537
A,S,8,6,0,1,1,0,0,143.4796
A,J,8,6,0,3,0,0,0,145.0947
A,L,8,6,1,1,0,0,0,146.7096
A,J,8,6,3,0,0,0,0,147.9207
A,T,8,6,1,0,0,0,0,149.1322
A,Z,8,6,0,0,0,0,0,150.3431
A,T,8,6,3,0,0,1,1,158.4877
A,S,8,6,2,0,1,0,1,166.1586
A,J,8,6,3,2,3,0,1,174.2336
A,L,8,6,1,3,0,0,1,182.3083
A,O,8,6,2,5,0,0,1,190.3833
A,L,8,6,0,6,3,0,1,198.054
A,T,8,6,1,2,5,1,2,206.9365
A,S,8,6,1,4,1,0,2,214.6077
A,O,8,6,2,4,0,0,2,221.4713
A,I,8,6,7,2,1,0,2,229.142
A,O,8,6,1,4,0,1,3,236.409
A,J,8,6,1,1,3,0,3,244.4841
A,O,8,6,2,0,0,1,4,253.7696
A,Z,8,6,3,0,3,0,4,261.4408
A,Z,8,6,3,1,1,0,4,268.7082
A,L,8,6,2,4,3,0,4,275.1681
A,T,8,6,4,0,1,0,4,282.0319
A,O,8,6,2,0,0,0,4,288.4912
A,I,8,6,4,0,1,0,4,294.5471
A,L,8,6,0,3,3,0,4,300.6032
A,Z,8,6,3,0,1,0,4,306.2553
A,J,8,6,4,0,3,0,4,311.9077
A,I,8,6,1,4,1,0,4,317.1566
A,O,8,6,5,5,0,0,4,322.4045
A,J,8,6,0,0,5,0,4,326.8458
A,L,8,6,4,1,1,0,4,330.8836
A,T,8,6,2,0,1,0,4,335.3247
A,L,8,6,0,1,0,0,4,338.958
A,I,8,6,1,4,1,0,4,347.0326
A,O,8,6,2,0,0,0,4,350.6658
A,Z,8,6,1,0,1,0,4,354.2993
A,I,8,6,4,0,1,0,4,357.933
A,J,8,6,0,3,3,0,4,362.7786
A,I,8,6,0,2,2,0,4,365.6041
A,J,8,6,0,1,1,0,4,368.8336
A,I,8,6,0,3,1,0,4,370.8529
A,I,8,6,0,2,0,0,4,372.0643
A,J,8,6,1,1,0,0,4,374.0831
A,I,8,6,0,0,0,0,4,382.5609
A,J,4,6,4,0,0,0,0,7.810451
A,S,4,6,1,0,2,0,0,15.88492
A,I,4,6,1,0,0,0,0,24.36352
A,T,4,6,1,1,0,0,0,31.63064
A,O,4,6,4,0,0,0,0,38.89782
A,I,4,6,0,2,2,0,0,46.56926
A,S,4,6,0,4,3,0,0,53.83644
A,I,4,6,0,4,1,0,0,60.70004
A,J,4,6,0,4,3,0,0,67.15993
A,Z,4,6,3,0,1,0,0,74.02321
A,T,4,6,3,0,2,0,0,80.07899
A,L,4,6,0,4,3,0,0,86.13474
A,I,4,6,0,2,0,0,0,91.78749
A,S,4,6,2,0,0,0,0,97.43948
A,L,4,6,0,1,0,0,0,103.0919
A,Z,4,6,4,2,0,0,0,108.3406
A,O,4,6,0,4,0,0,0,113.1852
A,Z,4,6,1,0,0,0,0,118.0301
A,T,4,6,0,2,2,0,0,122.4714
A,L,4,6,0,5,0,0,0,126.5086
A,O,4,6,0,3,0,0,0,130.1427
A,Z,4,6,0,0,0,0,0,134.1799
A,L,4,6,2,1,2,0,0,138.6211
A,O,4,6,2,3,0,0,0,141.447
A,J,4,6,0,3,0,0,0,144.2738
A,L,4,6,0,2,0,0,0,146.6958
A,I,4,6,2,0,0,0,0,148.7144
A,J,4,6,3,0,0,0,0,150.3295
A,Z,4,6,3,0,0,0,0,151.9443
A,S,4,6,0,0,0,0,0,160.0193
A,I,1,6,4,0,0,0,0,8.214112
A,T,1,6,0,1,0,0,0,16.28861
A,I,1,6,5,1,0,0,0,24.36327
A,O,1,6,0,4,0,0,0,32.43806
A,S,1,6,0,3,1,0,0,40.51306
A,O,1,6,0,4,0,1,1,49.39542
A,I,1,6,4,0,0,0,1,57.47008
A,T,1,6,0,0,1,0,1,65.14098
A,Z,1,6,1,3,3,1,2,74.02296
A,S,1,6,2,1,0,0,2,81.70625
A,Z,1,6,1,2,1,0,2,88.57165
A,J,1,6,4,0,0,0,2,95.43497
A,I,1,6,0,3,1,0,2,102.2984
A,L,1,6,0,1,1,0,2,108.7584
A,S,1,6,2,1,0,0,2,115.2179
A,T,1,6,0,1,2,0,2,121.2741
A,O,1,6,4,0,0,0,2,127.3302
A,J,1,6,4,2,0,0,2,132.9826
A,J,1,6,1,2,0,0,2,138.6349
A,T,1,6,0,5,3,0,2,143.8833
A,S,1,6,1,0,1,2,4,151.1508
A,J,1,6,0,0,3,0,4,157.2068
A,T,1,6,3,0,3,0,4,162.859
A,Z,1,6,2,3,0,0,4,168.9151
A,J,1,6,0,2,3,0,4,174.1636
A,I,1,6,1,4,1,0,4,179.816
A,T,1,6,1,0,2,0,4,184.6604
A,S,1,6,3,0,2,0,4,189.5056
A,T,1,6,1,0,0,0,4,193.9469
A,O,1,6,3,0,0,0,4,197.9839
A,L,1,6,0,3,3,0,4,201.6173
A,J,1,6,3,2,1,0,4,204.8477
A,I,1,6,4,0,0,0,4,208.4814
A,L,1,6,2,0,0,0,4,211.3073
A,J,1,6,0,3,0,0,4,215.3447
A,O,1,6,0,4,0,0,4,218.9785
A,J,1,6,0,2,1,0,4,221.805
A,I,1,6,1,0,0,0,4,223.8231
A,L,1,6,2,0,0,0,4,225.8422
A,Z,1,6,0,1,0,0,4,227.0534
A,S,1,6,0,1,0,0,4,228.2646
A,T,1,6,0,0,0,0,4,236.3396
A,I,3,6,4,6,0,0,0,8.214727
