Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
D,S,6,8R,2,0,0,0,0,8.073733
D,T,6,8R,2,2,0,0,0,16.17724
D,S,6,8R,1,0,1,0,0,23.89314
D,I,6,8R,6,1,1,0,0,31.17012
D,O,6,8R,0,2,0,0,0,39.24583
D,J,6,8R,1,0,2,0,0,46.93053
D,S,6,8R,1,5,1,0,0,54.60207
D,T,6,8R,0,0,0,0,0,61.07697
D,O,6,8R,1,2,0,0,0,67.14538
D,J,6,8R,0,2,2,0,0,73.60587
D,O,6,8R,0,1,0,0,0,78.85555
D,J,6,8R,4,0,1,0,0,85.31221
D,J,6,8R,3,0,2,0,0,91.3829
D,I,6,8R,3,1,1,0,0,95.82513
D,L,6,8R,0,0,1,0,0,98.65012
D,Z,6,8R,0,1,1,0,0,103.0924
D,I,6,8R,0,1,1,0,0,106.32
D,L,6,8R,0,0,0,0,0,108.353
D,T,6,8R,2,0,0,0,0,109.5655
D,S,6,8R,0,1,0,0,0,110.7775
D,I,6,8R,0,0,0,0,0,111.9875
D,S,6,8R,0,0,0,0,0,120.0898
D,I,3,8R,1,0,0,0,0,8.421473
D,T,3,8R,0,0,0,0,0,16.10762
D,O,3,8R,3,0,0,0,0,24.25112
D,Z,3,8R,0,0,3,0,0,31.21178
D,J,3,8R,1,3,1,0,0,39.35756
D,I,3,8R,0,1,1,0,0,46.6801
D,Z,3,8R,1,0,1,0,0,52.73632
D,J,3,8R,2,1,1,0,0,57.57911
D,T,3,8R,4,0,1,0,0,64.84838
D,J,3,8R,0,1,1,0,0,70.91725
D,S,3,8R,3,0,1,0,0,77.78078
D,I,3,8R,3,0,1,0,0,84.65697
D,J,3,8R,4,0,3,0,0,90.71531
D,Z,3,8R,0,3,1,0,0,97.57891
D,I,3,8R,3,1,1,0,0,104.4556
D,L,3,8R,1,0,1,0,0,109.7185
D,O,3,8R,4,1,0,0,0,114.1589
D,S,3,8R,0,0,1,0,0,118.6005
D,Z,3,8R,0,1,1,0,0,123.8625
D,J,3,8R,0,0,2,0,0,128.3324
D,L,3,8R,2,0,0,0,0,131.966
D,O,3,8R,0,3,0,0,0,135.9993
D,S,3,8R,1,0,1,0,0,139.233
D,Z,3,8R,1,0,0,0,0,142.0593
D,L,3,8R,1,0,0,0,0,144.1167
D,I,3,8R,0,0,1,0,0,146.1644
D,L,3,8R,0,0,0,0,0,147.3775
D,T,3,8R,0,0,0,0,0,155.4671
D,T,5,8R,1,0,0,0,0,7.988294
D,Z,5,8R,4,0,1,0,0,16.07814
D,J,5,8R,1,0,1,0,0,23.80527
D,L,5,8R,1,0,1,0,0,30.27903
D,I,5,8R,4,0,1,0,0,37.15697
D,O,5,8R,3,0,1,0,0,42.8096
D,I,5,8R,2,0,1,0,0,48.86729
D,T,5,8R,2,0,0,0,0,53.73899
D,L,5,8R,0,1,0,0,0,57.77666
D,S,5,8R,0,2,0,0,0,61.40997
D,T,5,8R,3,1,0,0,0,65.44666
D,L,5,8R,3,0,1,0,0,68.27307
D,S,5,8R,1,0,0,0,0,71.50188
D,J,5,8R,3,3,1,0,0,78.37202
D,L,5,8R,0,0,0,0,0,80.80145
D,S,5,8R,0,2,0,0,0,82.41777
D,T,5,8R,0,0,0,0,0,83.6293
D,S,5,8R,0,0,0,0,0,91.71854
B,J,4,8R,2,0,0,0,0,7.977392
B,S,4,8R,1,2,1,0,0,16.06533
B,I,4,8R,3,1,1,0,0,23.33187
B,T,4,8R,1,4,3,0,0,31.00309
B,O,4,8R,0,1,0,0,0,38.35421
B,I,4,8R,4,1,1,0,0,45.21787
B,S,4,8R,1,5,1,0,0,52.48579
B,I,4,8R,1,0,1,0,0,58.94526
B,J,4,8R,3,0,2,0,0,65.41698
B,Z,4,8R,0,4,3,0,0,71.87685
B,T,4,8R,0,3,1,0,0,77.53235
B,L,4,8R,3,0,1,0,0,82.37608
B,I,4,8R,1,2,1,0,0,88.44424
B,S,4,8R,2,0,1,0,0,93.74792
B,L,4,8R,1,0,1,0,0,97.7885
B,Z,4,8R,0,3,2,0,0,103.4684
B,O,4,8R,2,0,0,0,0,107.1089
B,Z,4,8R,0,3,3,0,0,111.5571
B,T,4,8R,2,2,1,0,0,116.4007
B,L,4,8R,0,0,1,0,0,118.4192
B,O,4,8R,3,2,0,0,0,122.4699
B,Z,4,8R,0,2,1,0,0,126.1468
B,L,4,8R,0,0,0,0,0,127.3586
B,O,4,8R,0,0,0,0,0,128.5701
B,L,4,8R,3,0,1,0,0,136.4076
B,I,4,8R,3,1,0,0,0,144.886
B,J,4,8R,3,0,0,0,0,152.5849
B,Z,4,8R,3,1,3,0,0,159.8513
B,S,4,8R,2,3,0,0,0,167.5503
B,J,4,8R,0,3,1,0,0,175.6251
B,T,4,8R,2,3,0,0,0,183.3389
B,Z,4,8R,0,3,2,0,0,190.6477
B,J,4,8R,5,0,1,0,0,197.6096
B,T,4,8R,2,0,1,0,0,203.7051
B,S,4,8R,0,6,3,0,0,209.8034
B,I,4,8R,0,1,1,0,0,216.6669
B,J,4,8R,1,1,0,0,0,222.4017
B,S,4,8R,0,5,1,0,0,228.0549
B,J,4,8R,0,2,2,0,0,232.9125
B,O,4,8R,2,2,0,0,0,237.8419
B,L,4,8R,3,1,2,0,0,243.2284
B,Z,4,8R,2,1,1,0,0,247.7002
