Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
A,I,2,4R,1,0,0,0,0,8.116498
A,S,2,4R,1,3,2,0,0,16.19096
A,T,2,4R,0,1,0,0,0,23.08079
A,J,2,4R,0,0,2,0,0,30.02655
A,L,2,4R,0,2,4,0,0,35.68149
A,O,2,4R,0,0,0,0,0,40.94296
A,T,2,4R,0,1,0,0,0,45.39901
A,Z,2,4R,0,0,2,0,0,49.43569
A,L,2,4R,0,1,1,0,0,51.85921
A,J,2,4R,0,0,1,0,0,54.27963
A,L,2,4R,0,1,0,0,0,55.90923
A,T,2,4R,0,0,0,0,0,57.12075
A,S,2,4R,0,0,0,0,0,65.19606
A,L,7,4R,0,1,0,0,0,7.892932
A,I,7,4R,2,1,1,0,0,15.16039
A,S,7,4R,0,1,1,0,0,21.63456
A,I,7,4R,1,0,1,0,0,26.47858
A,J,7,4R,0,0,3,0,0,30.11193
A,S,7,4R,0,2,0,0,0,32.53292
A,Z,7,4R,0,0,0,0,0,34.14923
A,O,7,4R,0,0,0,0,0,35.36058
A,T,7,4R,0,0,0,0,0,43.43644
A,I,1,4R,1,0,0,0,0,8.353815
A,T,1,4R,1,1,0,0,0,16.05179
A,I,1,4R,0,1,1,0,0,23.31964
A,O,1,4R,1,1,0,0,0,30.18223
A,S,1,4R,0,2,2,0,0,36.64167
A,O,1,4R,0,1,0,0,0,41.89156
A,I,1,4R,1,0,1,0,0,47.14005
A,T,1,4R,0,2,0,0,0,51.20387
A,Z,1,4R,1,0,2,0,0,55.64562
A,S,1,4R,0,3,0,0,0,59.34668
A,Z,1,4R,1,0,0,0,0,62.5797
A,J,1,4R,0,1,0,0,0,65.4332
A,I,1,4R,3,0,0,0,0,68.25919
A,L,1,4R,0,3,0,0,0,70.27757
A,S,1,4R,1,1,1,0,0,72.34
A,T,1,4R,0,1,0,0,0,73.54874
A,O,1,4R,0,0,0,0,0,81.6246
C,S,8,4R,0,2,2,0,0,8.297414
C,T,8,4R,1,1,1,0,0,15.56569
C,S,8,4R,0,2,1,0,0,22.84351
C,Z,8,4R,0,1,1,0,0,29.31988
C,T,8,4R,1,1,1,0,0,35.37589
C,O,8,4R,0,1,0,0,0,41.04302
C,J,8,4R,0,0,3,0,0,46.28905
C,S,8,4R,0,3,1,0,0,51.53931
C,Z,8,4R,0,2,3,0,0,55.60377
C,O,8,4R,1,1,0,0,0,59.64254
C,S,8,4R,0,2,3,0,0,62.8708
C,Z,8,4R,0,1,0,0,0,65.69745
C,O,8,4R,0,0,0,0,0,67.71585
C,L,8,4R,0,1,0,0,0,68.92797
C,S,8,4R,0,1,0,0,0,70.1386
C,L,8,4R,3,0,1,0,0,78.17279
C,I,8,4R,2,0,0,0,0,86.6781
C,T,8,4R,0,3,0,0,0,94.76846
C,Z,8,4R,0,4,3,0,0,102.4535
C,S,8,4R,1,0,4,0,0,110.1247
C,L,8,4R,1,0,2,0,0,116.9879
C,T,8,4R,1,2,0,0,0,124.659
C,T,8,4R,1,1,1,0,0,131.5222
C,S,8,4R,0,4,3,0,0,138.8033
C,J,8,4R,0,3,5,0,0,145.2635
C,L,8,4R,0,3,2,0,0,151.3186
C,J,8,4R,0,4,3,0,0,157.3887
C,T,8,4R,4,0,5,0,0,163.4436
C,Z,8,4R,3,0,0,0,0,169.9037
C,S,8,4R,0,1,0,0,0,175.9615
C,T,8,4R,2,0,0,1,1,183.2278
C,S,8,4R,2,0,5,0,1,188.8811
C,J,8,4R,1,0,0,0,1,194.5464
C,L,8,4R,0,3,3,0,1,200.1983
C,O,8,4R,0,4,0,0,1,205.4469
C,L,8,4R,0,4,3,0,1,210.6956
C,T,8,4R,0,0,2,0,1,215.568
C,S,8,4R,0,0,0,0,1,220.0236
C,O,8,4R,4,1,0,0,1,223.6721
C,I,8,4R,0,1,0,0,1,228.5148
C,O,8,4R,3,2,0,0,1,232.164
C,J,8,4R,0,1,0,0,1,236.2003
C,O,8,4R,0,2,0,0,1,239.8358
C,Z,8,4R,0,3,1,0,1,243.8719
C,Z,8,4R,0,0,1,0,1,247.1019
C,L,8,4R,1,0,2,0,1,249.9524
C,T,8,4R,0,0,1,0,1,252.3774
C,O,8,4R,0,1,0,0,1,254.3971
C,I,8,4R,3,0,0,0,1,256.0122
C,L,8,4R,1,0,0,0,1,257.2228
C,Z,8,4R,0,2,0,0,1,258.4343
C,J,8,4R,0,0,0,0,1,259.6468
C,I,8,4R,0,0,0,0,1,268.1375
C,J,4,4R,4,0,0,0,0,7.891587
C,S,4,4R,1,2,2,0,0,16.38279
C,I,4,4R,0,2,0,0,0,24.87755
C,T,4,4R,2,0,0,0,0,32.56355
C,O,4,4R,4,0,0,0,0,39.84352
C,I,4,4R,0,2,0,0,0,47.91954
C,S,4,4R,1,0,1,1,1,56.82916
C,I,4,4R,5,0,1,0,1,63.3032
C,J,4,4R,3,0,3,0,1,70.17645
C,Z,4,4R,0,0,5,0,1,78.25498
C,T,4,4R,0,4,0,1,2,87.56853
C,L,4,4R,0,1,3,0,2,95.24014
C,I,4,4R,0,0,1,1,3,104.1353
C,S,4,4R,0,4,3,0,3,112.2241
C,L,4,4R,0,6,3,0,3,119.8955
C,Z,4,4R,2,0,4,1,4,128.416
C,O,4,4R,5,1,0,0,4,134.8894
C,Z,4,4R,0,1,8,0,4,142.1987
C,T,4,4R,2,2,7,0,4,148.6722
C,L,4,4R,0,0,6,0,4,154.3383
C,O,4,4R,0,4,0,0,4,161.6053
C,Z,4,4R,1,3,1,1,5,170.0845
C,L,4,4R,0,6,3,0,5,176.5434
C,O,4,4R,0,1,0,0,5,183.4464
C,J,4,4R,0,1,6,0,5,190.31
C,L,4,4R,3,0,5,0,5,195.9646
C,I,4,4R,2,0,1,1,6,203.3226
C,J,4,4R,3,0,5,1,7,209.7892
C,Z,4,4R,5,0,1,0,7,215.4424
C,S,4,4R,1,3,0,0,7,221.9008
C,J,4,4R,0,2,2,0,7,228.3885
C,T,4,4R,1,5,2,0,7,233.2353
C,Z,4,4R,1,0,1,0,7,239.3182
C,J,4,4R,0,0,3,0,7,244.5653
C,T,4,4R,0,2,0,0,7,248.6056
C,S,4,4R,2,3,0,0,7,252.64
C,I,4,4R,4,0,0,0,7,256.6762
C,J,4,4R,0,3,0,0,7,260.3122
C,S,4,4R,2,1,3,1,8,266.4084
C,J,4,4R,0,3,2,0,8,270.8504
C,O,4,4R,0,1,0,0,8,274.4843
C,L,4,4R,0,0,5,0,8,277.7149
C,Z,4,4R,4,0,0,0,8,281.3615
C,S,4,4R,2,0,1,0,8,284.591
C,I,4,4R,0,0,1,0,8,287.0545
C,L,4,4R,1,1,1,0,8,289.0743
C,S,4,4R,1,0,0,0,8,290.2887
C,T,4,4R,2,0,0,0,8,291.4963
C,I,4,4R,0,0,0,0,8,293.1101
C,S,4,4R,0,0,0,0,8,301.1869
C,T,5,4R,4,0,3,0,0,7.950314
C,Z,5,4R,2,0,0,0,0,16.02348
C,J,5,4R,0,0,2,0,0,24.54498
C,L,5,4R,0,5,0,0,0,32.61871
C,I,5,4R,5,0,1,0,0,39.88686
C,O,5,4R,0,3,0,0,0,47.57096
C,I,5,4R,1,0,0,1,1,56.93852
C,T,5,4R,1,6,3,0,1,64.2089
