Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
A,T,5,7R,0,4,0,0,0,7.782063
A,Z,5,7R,1,1,0,0,0,15.88392
A,J,5,7R,3,1,0,0,0,23.95931
A,L,5,7R,3,0,1,0,0,31.62952
A,I,5,7R,0,4,1,1,1,40.50889
A,O,5,7R,0,2,0,0,1,48.6129
A,I,5,7R,4,0,1,0,1,56.32484
A,T,5,7R,1,0,1,0,1,63.9944
A,L,5,7R,1,6,3,1,2,72.87836
A,S,5,7R,1,2,1,0,2,80.99568
A,T,5,7R,5,3,2,0,2,87.86018
A,L,5,7R,1,4,3,0,2,95.14112
A,S,5,7R,1,1,1,0,2,102.0178
A,J,5,7R,0,3,1,0,2,108.8944
A,L,5,7R,0,4,3,0,2,115.3699
A,S,5,7R,3,1,5,0,2,121.83
A,T,5,7R,3,1,1,0,2,127.0921
A,S,5,7R,0,4,1,0,2,133.1614
A,I,5,7R,5,0,5,0,2,140.4701
A,O,5,7R,0,1,0,1,3,147.7943
A,Z,5,7R,0,3,3,0,3,153.0428
A,I,5,7R,1,4,1,0,3,156.6758
A,L,5,7R,0,3,0,0,3,161.1175
A,S,5,7R,2,2,1,0,3,166.7971
A,J,5,7R,4,1,3,0,3,172.4637
A,S,5,7R,1,1,1,0,3,177.3631
A,Z,5,7R,3,1,3,0,3,181.4159
A,J,5,7R,0,2,2,0,3,183.838
A,L,5,7R,2,0,4,0,3,187.4718
A,S,5,7R,0,3,2,0,3,191.926
A,Z,5,7R,2,1,1,0,3,195.964
A,L,5,7R,0,2,0,0,3,197.9968
A,O,5,7R,3,2,0,0,3,200.433
A,T,5,7R,0,1,0,0,3,201.6443
A,L,5,7R,0,0,0,0,3,209.7193
A,I,2,7R,0,4,1,0,0,7.503901
A,S,2,7R,3,1,2,0,0,15.98204
A,T,2,7R,2,1,0,0,0,24.07136
A,J,2,7R,0,1,0,0,0,32.14534
A,L,2,7R,0,5,3,0,0,39.81671
A,O,2,7R,2,5,0,1,1,48.30801
A,T,2,7R,4,0,1,0,1,56.02177
A,Z,2,7R,2,1,1,0,1,64.09638
A,L,2,7R,4,2,3,0,1,71.36366
A,J,2,7R,4,1,1,0,1,79.03486
A,L,2,7R,0,1,3,0,1,85.92646
A,T,2,7R,0,5,3,0,1,92.38648
A,S,2,7R,1,6,0,0,1,98.44255
A,O,2,7R,1,2,0,0,1,105.306
A,T,2,7R,2,3,0,0,1,111.3628
A,L,2,7R,2,3,1,0,1,116.2207
A,Z,2,7R,6,3,1,0,1,122.7094
A,I,2,7R,5,0,1,0,1,128.3745
A,O,2,7R,1,3,0,0,1,134.041
A,I,2,7R,4,0,1,0,1,139.6937
A,O,2,7R,1,5,0,1,2,146.5977
A,L,2,7R,1,1,3,0,2,151.8469
A,Z,2,7R,4,0,0,0,2,156.3013
A,L,2,7R,2,4,1,0,2,161.1462
A,J,2,7R,0,3,3,0,2,166.4232
A,I,2,7R,1,2,1,0,2,170.8767
A,L,2,7R,0,1,3,0,2,174.9436
A,O,2,7R,0,4,0,0,2,178.982
A,L,2,7R,0,2,3,0,2,182.6143
A,O,2,7R,1,1,0,0,2,185.4402
A,I,2,7R,1,1,4,0,2,188.2686
A,Z,2,7R,0,1,0,0,2,189.882
A,J,2,7R,4,0,0,0,2,193.9187
A,Z,2,7R,1,0,0,0,2,195.1311
A,O,2,7R,0,0,0,0,2,203.2472
A,J,4,7R,4,0,0,0,0,7.949853
A,S,4,7R,1,1,3,0,0,16.02388
A,I,4,7R,1,1,0,0,0,24.51685
A,T,4,7R,0,4,3,0,0,32.18844
A,O,4,7R,0,1,0,0,0,39.85991
A,I,4,7R,1,5,1,0,0,47.53052
A,S,4,7R,1,1,1,1,1,56.81542
A,I,4,7R,4,0,1,0,1,64.4871
A,J,4,7R,0,3,3,1,2,73.81473
A,Z,4,7R,4,2,3,0,2,81.48547
A,T,4,7R,0,5,3,0,2,88.34991
A,L,4,7R,0,2,0,0,2,96.01921
A,I,4,7R,5,0,1,0,2,103.6917
A,S,4,7R,1,0,0,1,3,112.1697
A,L,4,7R,0,1,1,0,3,119.4365
A,Z,4,7R,4,0,1,1,4,127.9432
A,O,4,7R,1,2,0,0,4,135.6274
A,Z,4,7R,0,2,1,0,4,143.313
A,T,4,7R,0,5,3,1,5,151.4007
A,L,4,7R,0,3,4,0,5,158.6695
A,O,4,7R,2,3,0,0,5,165.5451
A,Z,4,7R,1,3,0,0,5,172.0047
A,L,4,7R,1,2,3,0,5,178.8695
A,O,4,7R,1,5,0,0,5,184.9254
A,J,4,7R,4,0,3,0,5,192.5961
A,L,4,7R,2,3,0,1,6,200.2814
A,I,4,7R,5,0,3,0,6,206.7406
A,J,4,7R,4,0,1,0,6,213.6048
A,Z,4,7R,3,5,1,1,7,221.289
A,S,4,7R,2,4,1,0,7,227.7534
A,J,4,7R,3,0,3,0,7,234.6248
A,T,4,7R,5,2,0,1,8,241.9067
A,Z,4,7R,1,2,0,0,8,247.9637
A,J,4,7R,0,2,5,0,8,253.6145
A,T,4,7R,3,2,3,0,8,259.2685
A,S,4,7R,5,3,2,0,8,264.5177
A,I,4,7R,0,4,1,0,8,270.5728
