Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
D,I,2,4R,0,3,1,0,0,7.558738
D,S,2,4R,0,4,3,0,0,15.63346
D,T,2,4R,0,3,3,0,0,22.49722
D,J,2,4R,3,2,0,0,0,30.57159
D,L,2,4R,3,1,0,0,0,38.64686
D,O,2,4R,1,1,0,0,0,46.31777
D,T,2,4R,6,2,1,0,0,53.5848
D,Z,2,4R,4,1,0,0,0,60.44846
D,L,2,4R,0,1,0,0,0,67.31175
D,J,2,4R,0,3,6,0,0,74.17545
D,L,2,4R,2,0,0,0,0,80.63493
D,T,2,4R,0,2,2,0,0,86.69117
D,S,2,4R,2,0,3,0,0,92.74754
D,O,2,4R,1,0,0,0,0,99.20754
D,T,2,4R,2,0,2,0,0,104.4556
D,L,2,4R,1,2,0,0,0,110.1079
D,Z,2,4R,4,3,1,0,0,115.357
D,I,2,4R,0,2,0,0,0,121.0085
D,O,2,4R,0,2,0,1,1,127.8722
D,I,2,4R,0,4,1,1,2,136.7539
D,O,2,4R,6,2,0,2,4,144.4257
D,L,2,4R,0,5,3,0,4,150.0779
D,Z,2,4R,3,1,0,0,4,156.1337
D,L,2,4R,0,5,2,0,4,160.9784
D,J,2,4R,2,2,1,0,4,166.6302
D,I,2,4R,4,0,3,0,4,171.8792
D,L,2,4R,1,2,2,0,4,176.7245
D,O,2,4R,2,1,0,0,4,181.1652
D,L,2,4R,1,0,5,0,4,184.3949
D,O,2,4R,0,4,0,0,4,188.8363
D,I,2,4R,1,0,2,0,4,192.4697
D,Z,2,4R,0,2,0,0,4,195.2963
D,J,2,4R,0,2,0,0,4,197.7183
D,Z,2,4R,4,0,3,0,4,202.1596
D,O,2,4R,1,0,0,0,4,204.9858
D,I,2,4R,0,2,2,0,4,207.0043
D,Z,2,4R,1,0,0,0,4,209.0231
D,S,2,4R,2,0,1,0,4,211.8493
D,L,2,4R,2,0,0,0,4,213.0604
D,I,2,4R,0,1,0,0,4,214.6756
D,S,2,4R,0,0,0,0,4,222.7505
D,L,7,4R,0,5,0,0,0,7.823325
D,I,7,4R,3,2,2,0,0,16.30193
D,S,7,4R,1,4,0,0,0,23.97293
D,I,7,4R,5,0,1,0,0,31.64391
D,J,7,4R,3,6,2,0,0,39.31499
D,S,7,4R,1,0,0,0,0,47.38971
D,Z,7,4R,1,0,1,1,1,56.6757
D,O,7,4R,2,6,1,0,1,63.53939
D,T,7,4R,4,1,1,0,1,71.21005
D,I,7,4R,6,1,1,0,1,77.66987
D,S,7,4R,0,3,3,0,1,84.93732
D,Z,7,4R,5,0,1,0,1,90.58932
D,I,7,4R,4,0,1,0,1,97.45352
D,Z,7,4R,0,1,2,0,1,104.3169
D,T,7,4R,1,0,2,0,1,111.5842
D,S,7,4R,3,2,3,1,2,117.6399
D,Z,7,4R,5,4,1,0,2,123.6958
D,J,7,4R,0,3,4,0,2,130.1555
D,T,7,4R,1,5,3,0,2,135.808
D,I,7,4R,0,4,1,0,2,141.4605
D,Z,7,4R,5,0,1,0,2,145.0942
D,O,7,4R,4,2,0,0,2,152.3613
D,Z,7,4R,3,5,1,0,2,158.0141
D,T,7,4R,0,0,2,0,2,163.2626
D,L,7,4R,0,3,3,0,2,168.5111
D,O,7,4R,2,1,0,0,2,173.3563
D,J,7,4R,0,3,5,0,2,177.3934
D,L,7,4R,1,4,0,0,2,181.835
D,O,7,4R,0,3,0,0,2,185.4678
D,I,7,4R,1,0,0,0,2,189.9091
D,T,7,4R,2,0,1,0,2,193.5421
D,I,7,4R,0,3,1,1,3,197.9843
D,Z,7,4R,5,1,1,0,3,201.6176
D,T,7,4R,3,3,3,0,3,205.251
D,L,7,4R,1,2,2,0,3,208.077
D,I,7,4R,0,2,3,0,3,211.3074
D,L,7,4R,3,0,1,0,3,213.3261
D,O,7,4R,0,1,1,0,3,215.7485
D,I,7,4R,0,2,0,0,3,217.7671
D,Z,7,4R,0,1,0,0,3,218.9785
D,I,7,4R,0,0,0,0,3,220.1899
D,Z,7,4R,0,0,0,0,3,228.2645
D,I,1,4R,2,4,2,0,0,8.227078
D,T,1,4R,2,2,0,0,0,16.30191
D,I,1,4R,1,3,0,0,0,24.37801
D,O,1,4R,3,0,0,0,0,32.4516
D,S,1,4R,0,1,1,0,0,40.12296
D,O,1,4R,0,4,0,0,0,47.38951
D,I,1,4R,5,0,1,0,0,55.06075
D,T,1,4R,1,0,3,1,1,63.94272
D,Z,1,4R,5,1,1,1,2,73.63222
D,S,1,4R,3,2,1,0,2,80.89955
D,Z,1,4R,3,2,2,0,2,88.16672
D,J,1,4R,1,4,1,0,2,95.43449
D,I,1,4R,5,0,1,0,2,102.2977
D,L,1,4R,3,1,3,0,2,108.3539
D,S,1,4R,0,4,3,0,2,116.4285
D,T,1,4R,0,3,2,0,2,123.2918
D,O,1,4R,4,2,0,0,2,129.3481
D,J,1,4R,0,4,3,0,2,135.8078
D,J,1,4R,2,3,0,0,2,142.2678
D,T,1,4R,0,2,6,1,3,149.5345
D,S,1,4R,0,1,3,0,3,155.5905
D,J,1,4R,1,4,5,1,4,162.8578
D,T,1,4R,0,3,3,0,4,168.9142
D,Z,1,4R,4,0,4,0,4,174.9699
D,J,1,4R,4,0,3,0,4,180.2182
D,I,1,4R,0,3,1,0,4,185.4671
D,T,1,4R,0,1,2,0,4,191.1193
D,S,1,4R,2,1,2,0,4,196.7721
D,T,1,4R,1,3,4,0,4,202.0207
D,O,1,4R,1,1,0,0,4,206.8666
D,L,1,4R,0,4,3,0,4,211.307
D,J,1,4R,0,2,5,0,4,214.9401
D,I,1,4R,2,0,1,0,4,218.9777
D,L,1,4R,2,0,4,0,4,223.0151
D,J,1,4R,2,1,2,0,4,227.0525
D,O,1,4R,4,1,0,0,4,229.8784
D,J,1,4R,1,2,1,0,4,233.108
D,I,1,4R,2,2,4,0,4,235.5306
D,L,1,4R,3,0,1,0,4,237.9528
D,Z,1,4R,0,1,0,0,4,239.568
D,S,1,4R,0,0,1,0,4,241.5868
D,T,1,4R,0,0,0,0,4,249.6615
B,S,8,4R,0,6,3,0,0,7.823174
B,T,8,4R,0,5,3,0,0,14.68725
B,S,8,4R,0,3,5,0,0,22.76241
B,Z,8,4R,2,2,2,0,0,31.24063
B,T,8,4R,3,2,0,0,0,39.31546
B,O,8,4R,4,0,0,0,0,47.39019
B,J,8,4R,5,1,2,0,0,55.46469
B,S,8,4R,0,3,1,1,1,64.34697
B,Z,8,4R,2,3,5,0,1,71.21059
B,O,8,4R,1,1,0,0,1,78.88184
B,S,8,4R,2,1,1,0,1,86.55296
B,Z,8,4R,2,4,3,1,2,94.22361
B,O,8,4R,5,1,0,0,2,101.8946
B,L,8,4R,0,1,0,1,3,110.7766
B,S,8,4R,0,5,1,0,3,118.0438
B,Z,8,4R,1,4,3,0,3,123.6964
B,L,8,4R,0,0,4,0,3,130.9639
B,I,8,4R,3,3,2,0,3,135.8094
B,T,8,4R,4,2,4,0,3,142.2684
B,Z,8,4R,4,3,2,0,3,148.3237
B,S,8,4R,2,2,2,0,3,155.995
B,L,8,4R,0,0,3,0,3,160.8402
B,T,8,4R,4,0,1,0,3,165.6845
B,T,8,4R,2,0,2,0,3,170.1259
B,S,8,4R,4,1,2,0,3,174.1629
B,J,8,4R,1,3,5,0,3,178.2008
B,L,8,4R,0,3,2,0,3,181.8338
B,J,8,4R,2,0,4,0,3,185.8719
B,T,8,4R,3,0,2,0,3,188.6975
B,Z,8,4R,1,0,2,0,3,192.3315
B,S,8,4R,0,4,0,0,3,195.5616
B,T,8,4R,0,0,3,0,3,197.5799
B,S,8,4R,0,1,0,0,3,199.1953
B,L,8,4R,3,0,5,0,3,207.1161
B,O,8,4R,0,4,0,0,3,215.1905
B,L,8,4R,2,0,3,0,3,222.4578
B,T,8,4R,1,0,4,0,3,230.5327
B,S,8,4R,1,2,3,0,3,238.2035
B,O,8,4R,0,1,0,0,3,246.2781
B,I,8,4R,0,2,1,0,3,253.9492
B,O,8,4R,1,5,0,1,4,262.8311
B,J,8,4R,4,2,3,0,4,270.5018
B,O,8,4R,1,2,0,0,4,278.1735
B,Z,8,4R,1,0,1,1,5,287.056
B,Z,8,4R,3,2,1,1,6,295.5345
B,L,8,4R,4,1,5,0,6,302.8017
B,T,8,4R,0,3,0,0,6,310.4725
B,O,8,4R,4,1,0,0,6,317.7398
B,I,8,4R,1,5,3,0,6,325.0073
B,L,8,4R,0,6,3,1,7,332.6784
B,Z,8,4R,3,1,1,0,7,339.9465
B,J,8,4R,1,3,3,0,7,347.617
B,I,8,4R,6,1,1,0,7,354.0769
B,O,8,4R,3,0,0,0,7,360.9402
B,J,8,4R,0,2,2,0,7,367.8041
B,L,8,4R,0,3,5,1,8,375.0709
B,T,8,4R,1,4,1,0,8,380.7235
B,L,8,4R,0,2,3,0,8,387.1832
B,I,8,4R,5,0,1,0,8,392.4316
B,O,8,4R,3,0,0,0,8,398.8915
B,Z,8,4R,0,3,5,0,8,404.14
B,I,8,4R,4,0,1,0,8,409.3884
B,J,8,4R,0,4,3,0,8,414.2332
B,I,8,4R,4,0,4,0,8,419.4817
B,J,8,4R,0,3,3,0,8,423.1154
B,I,8,4R,5,1,1,0,8,426.7492
B,I,8,4R,3,0,3,0,8,430.3826
B,J,8,4R,0,3,2,0,8,434.0163
B,I,8,4R,0,0,0,0,8,442.4958
B,J,4,4R,1,4,1,0,0,7.809893
B,S,4,4R,0,5,1,0,0,14.67334
B,I,4,4R,3,3,4,0,0,23.15212
B,T,4,4R,3,1,0,0,0,31.22676
B,O,4,4R,0,3,0,0,0,38.89811
B,I,4,4R,5,0,1,0,0,46.56902
B,S,4,4R,0,5,1,1,1,54.23946
B,I,4,4R,3,2,0,0,1,62.31429
B,J,4,4R,4,1,7,0,1,70.38889
B,Z,4,4R,1,5,3,1,2,77.65612
B,T,4,4R,1,0,4,0,2,85.73093
B,L,4,4R,4,1,5,0,2,92.59451
B,I,4,4R,1,2,0,0,2,100.6696
B,S,4,4R,0,0,1,0,2,108.34
B,L,4,4R,1,0,3,1,3,116.8189
B,Z,4,4R,2,1,0,0,3,124.4899
B,O,4,4R,0,2,0,0,3,132.1607
B,Z,4,4R,0,3,1,0,3,137.4081
B,T,4,4R,0,2,0,0,3,144.3007
B,L,4,4R,1,0,2,1,4,152.3758
B,O,4,4R,1,1,0,1,5,160.854
B,Z,4,4R,0,3,1,0,5,166.1028
B,L,4,4R,2,0,6,0,5,172.966
