Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
B,I,1,1,4,0,0,1,1,8.45048
B,T,1,1,3,7,0,0,1,16.53695
B,I,1,1,3,7,3,0,1,23.83405
B,O,1,1,1,1,0,0,1,31.90871
B,S,1,1,1,1,2,0,1,39.9837
B,O,1,1,2,1,0,0,1,46.84669
B,I,1,1,0,1,1,0,1,54.53244
B,T,1,1,1,4,1,1,2,63.41428
B,Z,1,1,2,0,3,0,2,70.27789
B,S,1,1,0,4,1,0,2,77.54585
B,Z,1,1,1,4,2,0,2,84.40833
B,J,1,1,5,0,1,0,2,92.48336
B,I,1,1,5,0,1,1,3,101.3938
B,L,1,1,2,3,3,0,3,108.2568
B,S,1,1,0,5,1,0,3,114.717
B,T,1,1,0,5,3,0,3,119.562
B,O,1,1,4,5,2,0,3,127.2325
B,J,1,1,3,0,3,0,3,134.4995
B,J,1,1,1,3,3,2,5,142.9773
B,T,1,1,0,3,1,0,5,148.6303
B,S,1,1,1,0,4,0,5,155.4929
B,J,1,1,4,0,3,0,5,162.7609
B,T,1,1,1,1,3,0,5,168.8177
B,Z,1,1,1,4,6,0,5,174.0669
B,J,1,1,0,3,2,0,5,179.3152
B,I,1,1,0,0,1,0,5,186.9862
B,T,1,1,0,1,1,1,6,194.6564
B,S,1,1,2,1,0,1,7,202.7458
B,T,1,1,4,0,1,0,7,209.2056
B,O,1,1,3,0,1,1,8,216.8765
B,L,1,1,2,0,2,0,8,222.5293
B,J,1,1,0,0,2,0,8,229.7964
B,I,1,1,2,0,1,1,9,237.4673
B,L,1,1,0,2,0,1,10,245.5419
B,J,1,1,4,0,4,1,11,252.8235
B,O,1,1,1,1,1,0,11,259.6869
B,J,1,1,4,0,3,1,12,266.9543
B,I,1,1,3,0,0,0,12,273.8176
B,L,1,1,2,0,3,0,12,278.2719
B,Z,1,1,0,3,3,0,12,285.5397
B,S,1,1,0,2,1,1,13,294.019
B,T,1,1,0,3,3,0,13,300.5064
B,J,1,1,2,0,4,0,13,306.9663
B,Z,1,1,2,0,0,0,13,313.0205
B,T,1,1,1,1,3,0,13,317.8667
B,Z,1,1,0,2,3,0,13,323.9232
B,O,1,1,4,0,1,0,13,327.9599
B,Z,1,1,3,0,1,0,13,333.2088
B,O,1,1,4,0,1,0,13,336.4382
B,T,1,1,0,5,3,0,13,342.8981
B,J,1,1,0,1,3,1,14,350.5694
B,O,1,1,0,1,1,0,14,355.8156
B,L,1,1,0,5,3,0,14,361.47
B,O,1,1,0,3,1,0,14,366.315
B,S,1,1,0,0,4,0,14,370.7558
