Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
D,I,2,4R,0,4,1,1,1,7.350618
D,S,2,4R,2,0,2,0,1,15.82903
D,T,2,4R,2,1,0,0,1,23.90336
D,J,2,4R,0,2,1,0,1,31.97873
D,L,2,4R,2,0,2,0,1,39.2456
D,O,2,4R,0,1,0,0,1,47.3203
D,T,2,4R,0,0,6,1,2,56.20206
D,Z,2,4R,4,0,3,0,2,63.46999
D,L,2,4R,1,0,4,0,2,70.73698
D,J,2,4R,1,0,6,0,2,78.00398
D,L,2,4R,0,4,3,0,2,85.67522
D,T,2,4R,0,4,2,1,3,94.15363
D,S,2,4R,0,3,5,0,3,101.0171
D,O,2,4R,1,1,0,0,3,107.477
D,T,2,4R,4,0,1,0,3,113.9371
D,L,2,4R,0,4,5,0,3,119.1853
D,Z,2,4R,3,0,1,0,3,126.0489
D,I,2,4R,0,4,1,0,3,132.5089
D,O,2,4R,3,0,0,0,3,138.5652
D,I,2,4R,0,3,1,1,4,146.2358
D,O,2,4R,1,0,0,1,5,153.9069
D,L,2,4R,2,0,2,0,5,159.9632
D,Z,2,4R,0,2,5,0,5,165.6157
D,L,2,4R,0,3,3,0,5,172.4794
D,J,2,4R,0,0,1,2,7,180.5539
D,I,2,4R,0,4,1,0,7,187.0136
D,L,2,4R,0,1,3,1,8,195.492
D,O,2,4R,4,0,0,0,8,202.3556
D,L,2,4R,0,3,5,0,8,208.0079
D,O,2,4R,4,0,0,0,8,214.0637
D,I,2,4R,3,0,1,0,8,220.9276
D,Z,2,4R,3,0,0,1,9,228.1946
D,J,2,4R,1,0,4,0,9,233.4431
D,Z,2,4R,6,1,1,0,9,238.6918
D,O,2,4R,0,2,0,0,9,243.9408
D,I,2,4R,0,4,1,0,9,249.5929
D,Z,2,4R,5,0,1,0,9,254.034
D,S,2,4R,1,1,3,0,9,259.2824
D,L,2,4R,0,2,3,0,9,264.1273
D,I,2,4R,0,3,1,0,9,269.7795
D,S,2,4R,2,0,3,0,9,273.4133
D,I,2,4R,0,4,1,0,9,277.451
D,Z,2,4R,3,0,1,0,9,281.0846
D,L,2,4R,0,4,2,0,9,284.7185
D,S,2,4R,2,2,1,0,9,289.1596
D,J,2,4R,1,3,1,0,9,292.7932
D,O,2,4R,0,2,0,0,9,296.0228
D,J,2,4R,1,0,1,0,9,299.2526
D,T,2,4R,0,1,0,1,10,302.8865
D,Z,2,4R,0,3,2,0,10,305.7126
D,O,2,4R,3,0,0,0,10,308.9424
D,S,2,4R,2,0,1,0,10,311.3649
D,J,2,4R,0,2,1,0,10,312.9801
