Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
A,I,3,5R,0,2,0,1,1,8.450486
A,T,3,5R,0,0,0,0,1,16.52536
A,O,3,5R,3,0,0,0,1,24.59952
A,Z,3,5R,0,3,0,0,1,32.27147
A,J,3,5R,5,0,2,0,1,40.37369
A,I,3,5R,0,4,1,1,2,48.86609
A,Z,3,5R,0,0,0,0,2,56.93977
A,J,3,5R,1,0,3,0,2,65.01595
A,T,3,5R,2,2,2,0,2,71.87926
A,J,3,5R,0,2,1,0,2,79.14604
A,S,3,5R,3,1,1,0,2,86.81757
A,I,3,5R,0,2,1,0,2,93.27736
A,J,3,5R,4,0,3,0,2,100.5446
A,Z,3,5R,0,3,0,0,2,106.1967
A,I,3,5R,0,1,1,0,2,113.4636
A,L,3,5R,0,2,0,1,3,121.1349
A,O,3,5R,1,1,0,0,3,127.1907
A,S,3,5R,2,0,1,0,3,134.0546
A,Z,3,5R,6,1,1,1,4,141.7257
A,J,3,5R,1,1,6,0,4,147.7951
A,L,3,5R,2,2,3,0,4,154.6584
A,O,3,5R,2,0,0,1,5,162.3294
A,S,3,5R,0,5,1,0,5,168.789
A,Z,3,5R,0,0,0,1,6,176.0565
A,L,3,5R,2,0,6,0,6,182.1129
A,I,3,5R,0,4,1,0,6,187.765
A,L,3,5R,1,4,1,0,6,193.0278
A,T,3,5R,1,0,1,0,6,198.276
A,S,3,5R,3,1,0,0,6,203.9286
A,O,3,5R,0,0,0,0,6,208.7738
A,J,3,5R,0,3,2,0,6,213.6177
A,T,3,5R,3,0,0,0,6,218.4631
A,J,3,5R,4,0,2,0,6,223.308
A,T,3,5R,0,0,0,0,6,227.3449
A,J,3,5R,4,0,0,0,6,230.9791
A,L,3,5R,0,0,3,0,6,234.2086
A,T,3,5R,0,1,1,0,6,237.4387
A,I,3,5R,0,2,2,0,6,240.2646
A,J,3,5R,2,0,1,0,6,242.6875
A,O,3,5R,0,0,1,0,6,243.8989
A,L,3,5R,0,0,0,0,6,251.9742
A,S,8,5R,0,0,4,0,0,7.838877
A,T,8,5R,4,1,1,0,0,15.51004
A,S,8,5R,1,3,0,0,0,23.58485
A,Z,8,5R,0,2,0,0,0,31.29652
A,T,8,5R,0,5,3,0,0,38.56437
A,O,8,5R,0,3,0,0,0,45.42827
A,J,8,5R,4,0,3,0,0,53.11275
A,S,8,5R,2,2,0,1,1,62.02133
A,Z,8,5R,0,0,1,0,1,69.69279
A,O,8,5R,5,1,0,0,1,76.55722
A,S,8,5R,0,3,5,0,1,83.01452
A,Z,8,5R,5,2,1,0,1,90.32489
A,O,8,5R,0,4,0,1,2,98.42749
A,L,8,5R,1,0,3,0,2,104.8886
A,S,8,5R,1,1,1,0,2,111.7641
A,Z,8,5R,1,1,1,0,2,117.8351
A,L,8,5R,4,1,1,0,2,123.0982
A,I,8,5R,0,4,1,0,2,128.764
A,T,8,5R,2,0,1,0,2,134.0102
A,Z,8,5R,1,0,1,0,2,139.6646
A,S,8,5R,0,1,0,0,2,144.5223
A,L,8,5R,0,0,4,0,2,148.5591
A,T,8,5R,4,1,1,0,2,151.7889
A,T,8,5R,1,0,0,0,2,155.0183
A,S,8,5R,1,5,1,0,2,161.0903
A,J,8,5R,1,3,0,0,2,165.9492
A,L,8,5R,0,5,0,0,2,170.3874
A,J,8,5R,0,2,0,0,2,174.442
A,T,8,5R,0,4,0,0,2,178.1023
A,Z,8,5R,1,3,1,0,2,180.9296
A,S,8,5R,0,2,1,0,2,184.158
A,T,8,5R,0,3,1,0,2,186.1756
A,S,8,5R,0,1,1,0,2,188.2102
A,J,8,5R,0,0,0,0,2,189.4214
A,L,8,5R,0,0,0,0,2,197.5249
A,I,2,5R,0,4,1,0,0,7.461819
A,S,2,5R,0,4,1,0,0,15.53692
A,T,2,5R,0,2,0,0,0,23.61228
A,J,2,5R,0,2,6,0,0,31.28315
A,L,2,5R,0,1,1,0,0,38.55045
A,O,2,5R,0,4,0,0,0,45.0101
A,T,2,5R,0,1,1,0,0,51.47003
A,Z,2,5R,0,0,3,0,0,57.52577
A,L,2,5R,1,3,5,0,0,62.37043
A,J,2,5R,4,2,0,0,0,70.44554
A,L,2,5R,0,0,3,0,0,77.71283
A,T,2,5R,2,1,1,0,0,82.97569
A,S,2,5R,2,2,1,0,0,87.82046
A,O,2,5R,0,4,0,0,0,93.48645
A,T,2,5R,0,5,3,0,0,97.9266
A,L,2,5R,2,0,3,0,0,105.5979
A,Z,2,5R,4,1,2,0,0,112.4611
A,I,2,5R,0,2,1,0,0,118.5182
A,O,2,5R,3,0,0,0,0,124.1705
A,I,2,5R,0,2,1,0,0,128.6116
A,O,2,5R,3,0,0,0,0,133.4563
A,L,2,5R,0,3,3,0,0,137.8974
A,Z,2,5R,0,3,1,0,0,141.9347
A,L,2,5R,0,1,3,0,0,145.1654
A,J,2,5R,0,1,0,0,0,148.3949
A,I,2,5R,5,0,1,0,0,154.8545
A,L,2,5R,2,0,2,0,0,158.8918
A,O,2,5R,3,0,0,2,2,164.5441
A,L,2,5R,0,3,3,0,2,167.7865
A,O,2,5R,0,4,0,0,2,171.4214
A,I,2,5R,5,0,1,0,2,176.266
A,Z,2,5R,3,2,0,0,2,179.8999
A,J,2,5R,4,1,0,0,2,183.5338
A,Z,2,5R,0,2,1,0,2,186.7644
A,O,2,5R,0,2,0,0,2,189.1863
A,I,2,5R,0,0,1,0,2,191.205
A,Z,2,5R,0,0,0,0,2,192.4164
A,S,2,5R,0,0,0,0,2,200.4903
C,I,1,5R,0,4,1,0,0,7.420386
C,T,1,5R,0,3,0,0,0,15.49544
C,I,1,5R,0,4,1,0,0,21.5509
C,O,1,5R,1,1,0,0,0,29.62667
C,S,1,5R,0,4,1,0,0,37.29696
C,O,1,5R,3,1,0,0,0,45.37172
C,I,1,5R,0,3,1,0,0,51.83165
C,T,1,5R,0,4,1,0,0,56.67628
C,Z,1,5R,1,3,3,0,0,63.54009
C,S,1,5R,1,3,1,0,0,69.59544
C,Z,1,5R,3,2,4,0,0,76.86391
C,J,1,5R,3,4,1,0,0,82.10999
C,I,1,5R,6,2,1,0,0,89.78259
C,L,1,5R,0,1,1,0,0,95.83873
C,S,1,5R,2,0,1,0,0,102.7007
C,T,1,5R,0,5,3,0,0,106.7395
C,O,1,5R,2,0,7,0,0,112.7954
C,J,1,5R,1,3,3,0,0,117.6395
C,J,1,5R,0,2,1,0,0,121.2743
C,T,1,5R,4,0,1,0,0,126.9263
C,S,1,5R,3,0,1,0,0,132.1749
C,J,1,5R,0,0,4,0,0,135.809
C,T,1,5R,3,2,0,0,0,141.0571
C,Z,1,5R,4,3,0,1,1,147.1136
C,J,1,5R,3,1,0,0,1,151.5543
C,I,1,5R,4,0,1,0,1,155.9957
C,T,1,5R,1,3,2,0,1,159.2257
C,S,1,5R,1,0,1,0,1,163.2634
C,T,1,5R,4,0,1,0,1,166.5066
C,O,1,5R,0,4,0,0,1,169.3333
C,L,1,5R,0,0,2,0,1,171.7554
C,J,1,5R,0,0,4,0,1,174.1777
C,I,1,5R,0,1,0,0,1,175.7931
C,L,1,5R,1,0,0,0,1,177.8118
C,J,1,5R,2,0,0,0,1,179.023
C,O,1,5R,1,0,0,0,1,180.2329
C,I,1,5R,0,4,1,0,1,188.196
C,L,1,5R,0,4,0,0,1,196.2707
C,Z,1,5R,0,1,0,0,1,203.9422
C,S,1,5R,1,2,3,0,1,212.017
C,T,1,5R,1,1,1,0,1,218.8801
C,J,1,5R,5,2,0,0,1,226.9557
C,Z,1,5R,5,1,3,0,1,234.6259
C,T,1,5R,2,0,1,0,1,241.4892
C,Z,1,5R,5,0,1,0,1,248.3528
C,O,1,5R,0,3,0,0,1,255.6199
C,Z,1,5R,0,1,1,1,2,264.0984
C,O,1,5R,0,4,0,1,3,272.5773
C,T,1,5R,1,0,2,0,3,279.4404
C,J,1,5R,0,1,3,0,3,287.1111
C,O,1,5R,0,4,0,1,4,295.1862
C,L,1,5R,2,0,6,0,4,302.0476
C,O,1,5R,0,2,0,1,5,310.5278
C,S,1,5R,3,2,1,0,5,317.3915
C,O,1,5R,0,0,0,0,5,324.6588
C,Z,1,5R,4,0,3,1,6,333.1369
C,L,1,5R,2,0,6,0,6,339.1933
C,S,1,5R,2,2,0,0,6,346.0562
C,I,1,5R,2,2,0,0,6,353.3237
C,Z,1,5R,1,4,4,0,6,359.783
C,I,1,5R,0,4,1,0,6,365.8398
C,L,1,5R,0,4,0,0,6,371.8956
C,Z,1,5R,0,0,1,0,6,377.9516
C,L,1,5R,0,1,2,1,7,384.8295
C,I,1,5R,0,4,1,0,7,389.6731
C,L,1,5R,2,2,3,0,7,394.5184
C,S,1,5R,0,5,3,0,7,400.1711
C,L,1,5R,0,2,0,0,7,405.4201
C,S,1,5R,0,0,0,0,7,413.4951
C,T,5,5R,4,0,3,0,0,7.908001
C,Z,5,5R,4,0,1,0,0,15.17479
C,J,5,5R,4,0,3,0,0,22.46995
C,L,5,5R,0,1,0,0,0,30.54492
C,I,5,5R,0,2,0,0,0,39.02337
C,O,5,5R,2,0,0,1,1,48.30892
C,I,5,5R,0,2,0,0,1,56.7876
C,T,5,5R,0,0,1,0,1,64.45878
C,L,5,5R,0,5,0,0,1,72.12981
C,S,5,5R,0,2,1,0,1,79.80109
C,T,5,5R,1,0,1,1,2,88.29582
C,L,5,5R,0,4,1,0,2,95.56021
C,S,5,5R,1,3,1,1,3,104.4423
C,J,5,5R,0,3,1,0,3,112.1134
C,L,5,5R,2,0,6,1,4,120.9955
C,S,5,5R,1,1,1,1,5,130.2796
C,T,5,5R,0,4,3,0,5,137.9527
C,S,5,5R,0,2,1,1,6,147.2386
C,I,5,5R,1,5,1,0,6,154.506
C,O,5,5R,4,1,0,0,6,162.5808
C,Z,5,5R,2,4,1,0,6,170.252
C,I,5,5R,5,0,3,0,6,177.9229
C,L,5,5R,0,1,3,1,7,186.8043
C,S,5,5R,1,3,1,1,8,196.0899
C,J,5,5R,4,2,1,0,8,203.3576
C,S,5,5R,2,4,1,0,8,210.667
C,Z,5,5R,0,2,1,0,8,218.3518
C,J,5,5R,1,1,2,0,8,225.2156
C,L,5,5R,0,6,3,0,8,231.271
C,S,5,5R,1,0,1,0,8,238.1352
C,Z,5,5R,2,0,1,0,8,244.1909
C,L,5,5R,3,0,1,0,8,251.0545
C,O,5,5R,1,2,0,0,8,256.7208
C,T,5,5R,0,3,1,0,8,262.3735
C,L,5,5R,3,1,3,0,8,268.8332
C,I,5,5R,1,5,1,1,9,275.6969
C,T,5,5R,0,3,3,0,9,280.5417
C,O,5,5R,4,0,0,0,9,286.5971
C,S,5,5R,0,2,2,0,9,291.8448
C,L,5,5R,1,2,1,0,9,295.8829
C,O,5,5R,4,0,0,0,9,301.1452
C,Z,5,5R,0,3,1,0,9,305.99
C,T,5,5R,0,3,4,0,9,310.0276
C,I,5,5R,3,0,3,0,9,315.6931
C,Z,5,5R,3,0,2,1,10,322.1524
C,T,5,5R,0,2,1,0,10,325.7867
C,I,5,5R,0,3,1,0,10,329.4341
C,O,5,5R,3,1,0,0,10,333.4713
C,T,5,5R,0,2,2,0,10,336.297
C,J,5,5R,3,0,2,0,10,339.5273
C,O,5,5R,0,2,1,0,10,341.5459
C,J,5,5R,3,0,0,0,10,343.9692
C,Z,5,5R,0,0,1,0,10,345.1803
C,O,5,5R,1,0,1,0,10,347.1993
C,J,5,5R,0,0,0,0,10,355.2472
C,S,6,5R,2,0,4,0,0,7.851187
C,T,6,5R,1,0,0,0,0,15.92637
C,S,6,5R,1,4,4,0,0,24.00096
C,I,6,5R,7,2,3,0,0,30.87876
C,O,6,5R,3,0,0,0,0,38.14577
C,J,6,5R,0,3,2,0,0,46.22076
C,S,6,5R,0,2,2,0,0,54.29532
C,T,6,5R,5,1,1,0,0,59.94772
C,O,6,5R,3,0,0,0,0,66.40736
C,J,6,5R,2,0,1,0,0,73.67501
C,O,6,5R,0,1,0,1,1,82.18123
C,J,6,5R,1,0,3,0,1,89.44865
C,J,6,5R,0,4,3,0,1,97.53564
C,I,6,5R,0,2,1,1,2,106.4188
C,L,6,5R,0,6,3,1,3,115.3017
C,Z,6,5R,0,0,0,1,4,124.1835
C,I,6,5R,1,4,1,1,5,133.0656
C,L,6,5R,2,1,5,1,6,141.9478
C,T,6,5R,3,0,3,0,6,149.2159
C,S,6,5R,1,1,5,0,6,156.8859
C,I,6,5R,0,4,1,0,6,164.5569
C,S,6,5R,4,3,3,0,6,171.4209
C,O,6,5R,0,2,0,0,6,179.4953
C,S,6,5R,2,1,1,1,7,187.57
C,Z,6,5R,1,1,1,0,7,195.643
C,I,6,5R,7,2,1,0,7,202.5083
C,L,6,5R,0,1,5,0,7,209.3702
C,J,6,5R,0,3,3,0,7,217.0405
C,T,6,5R,4,1,6,1,8,223.9329
C,J,6,5R,0,1,6,0,8,230.7972
C,T,6,5R,0,5,3,0,8,237.6609
C,L,6,5R,0,5,3,0,8,243.7175
C,J,6,5R,0,1,4,0,8,249.7738
C,I,6,5R,0,4,1,0,8,255.4261
C,O,6,5R,1,0,0,0,8,261.8859
C,O,6,5R,0,3,0,2,10,269.1533
C,L,6,5R,1,1,4,0,10,275.6264
C,I,6,5R,2,6,1,0,10,280.8752
C,J,6,5R,4,1,3,0,10,287.3358
C,Z,6,5R,2,0,2,0,10,293.392
C,O,6,5R,0,3,0,0,10,298.6397
C,S,6,5R,2,2,1,0,10,303.8882
C,O,6,5R,3,5,0,0,10,308.7332
C,Z,6,5R,4,0,3,0,10,314.3857
C,Z,6,5R,5,0,1,0,10,319.2313
C,T,6,5R,2,0,2,0,10,322.8644
C,S,6,5R,0,4,1,0,10,326.9023
C,O,6,5R,0,0,0,0,10,331.3574
C,T,6,5R,0,1,0,0,10,334.9916
C,O,6,5R,0,3,0,0,10,337.8165
C,Z,6,5R,5,0,1,0,10,341.4507
C,T,6,5R,1,0,0,0,10,344.6799
C,Z,6,5R,0,0,1,0,10,347.5064
C,T,6,5R,1,1,1,0,10,349.526
C,Z,6,5R,2,0,0,0,10,350.7367
C,I,6,5R,0,1,0,0,10,352.7553
C,L,6,5R,0,0,0,0,10,360.8099
C,J,4,5R,4,0,0,0,0,7.811448
C,S,4,5R,3,0,1,0,0,15.48166
C,I,4,5R,3,2,0,0,0,23.96041
C,T,4,5R,0,4,0,0,0,32.03547
C,O,4,5R,3,1,0,1,1,41.32121
C,I,4,5R,1,1,0,0,1,49.79964
C,S,4,5R,0,5,1,0,1,57.87435
C,I,4,5R,1,1,0,1,2,67.56428
C,J,4,5R,4,0,5,1,3,76.84991
C,Z,4,5R,3,6,3,0,3,84.92384
C,T,4,5R,0,2,1,0,3,92.19193
C,L,4,5R,0,1,4,0,3,100.267
C,I,4,5R,0,4,1,0,3,107.9382
C,S,4,5R,0,5,0,0,3,114.8011
C,L,4,5R,1,1,1,0,3,122.0689
C,Z,4,5R,0,2,1,0,3,128.5287
C,O,4,5R,4,0,0,0,3,136.1996
