Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
B,J,4,6R,4,0,0,1,1,7.754809
B,S,4,6R,1,0,1,0,1,15.82965
B,I,4,6R,0,2,0,0,1,24.31952
B,T,4,6R,3,0,3,0,1,31.5883
B,O,4,6R,1,1,0,0,1,39.7451
B,I,4,6R,0,2,0,1,2,49.43651
B,S,4,6R,2,1,1,1,3,58.74532
B,I,4,6R,2,2,0,0,3,67.36504
B,J,4,6R,0,3,1,0,3,75.45567
B,Z,4,6R,5,0,1,1,4,84.74208
B,T,4,6R,0,0,3,0,4,92.41276
B,L,4,6R,3,1,2,0,4,99.27702
B,I,4,6R,0,1,0,0,4,107.7562
B,S,4,6R,0,5,0,1,5,117.0693
B,L,4,6R,0,2,5,0,5,124.738
B,Z,4,6R,2,1,3,1,6,134.0392
B,O,4,6R,0,2,0,0,6,142.1138
B,Z,4,6R,0,3,0,0,6,149.7853
B,T,4,6R,3,1,2,1,7,158.6817
B,L,4,6R,2,0,2,1,8,167.5762
B,O,4,6R,0,1,0,0,8,175.6524
B,Z,4,6R,3,0,7,0,8,182.9195
B,L,4,6R,0,6,3,0,8,190.5906
B,O,4,6R,2,1,0,1,9,199.8766
B,J,4,6R,4,0,3,0,9,207.5618
B,L,4,6R,0,3,1,0,9,214.8288
B,I,4,6R,4,0,0,0,9,221.6923
B,J,4,6R,0,3,1,0,9,228.959
B,Z,4,6R,1,2,1,0,9,235.4186
B,S,4,6R,2,3,1,0,9,243.0904
B,J,4,6R,1,4,1,0,9,249.1459
B,T,4,6R,3,0,0,0,9,255.2026
B,Z,4,6R,2,0,3,0,9,260.8536
B,J,4,6R,0,2,2,0,9,266.9227
B,T,4,6R,0,0,2,0,9,271.3655
B,S,4,6R,0,5,1,0,9,276.2372
B,I,4,6R,5,0,1,0,9,281.4856
B,J,4,6R,0,3,3,0,9,285.5259
B,S,4,6R,2,1,3,0,9,289.9653
B,J,4,6R,2,0,0,0,9,294.0033
B,O,4,6R,0,1,0,0,9,298.0408
B,L,4,6R,2,0,2,0,9,301.284
B,Z,4,6R,0,2,2,0,9,304.5133
B,S,4,6R,0,1,0,0,9,308.1607
B,I,4,6R,0,0,3,0,9,310.5976
B,L,4,6R,2,0,0,0,9,313.4246
B,S,4,6R,0,1,0,0,9,315.039
B,T,4,6R,0,0,0,0,9,316.2499
B,I,4,6R,0,0,0,0,9,324.7434
B,I,1,6R,5,0,1,0,0,8.22754
B,T,1,6R,0,5,3,0,0,15.89885
B,I,1,6R,1,1,0,0,0,24.37903
B,O,1,6R,4,0,0,0,0,32.07559
B,S,1,6R,0,4,0,0,0,39.76103
B,O,1,6R,3,1,0,0,0,47.43123
B,I,1,6R,0,4,1,0,0,53.89059
B,T,1,6R,1,2,1,0,0,61.15788
B,Z,1,6R,0,1,0,0,0,68.0213
B,S,1,6R,0,4,1,0,0,74.88562
B,Z,1,6R,1,3,3,0,0,80.9425
B,J,1,6R,6,2,3,0,0,87.84682
B,I,1,6R,2,1,3,0,0,95.11425
B,L,1,6R,1,0,5,2,2,103.6068
B,S,1,6R,0,0,3,0,2,110.4836
B,T,1,6R,3,3,1,0,2,116.9413
B,O,1,6R,5,1,0,0,2,123.4037
B,J,1,6R,0,4,3,0,2,130.2673
B,J,1,6R,2,1,3,1,3,137.939
B,T,1,6R,0,1,1,0,3,144.3984
B,S,1,6R,1,3,1,2,5,152.4735
B,J,1,6R,4,2,3,0,5,159.3367
B,T,1,6R,0,0,1,0,5,165.0174
B,Z,1,6R,2,2,0,0,5,170.2936
B,J,1,6R,4,0,3,0,5,177.1665
B,I,1,6R,0,4,1,0,5,183.6304
B,T,1,6R,3,2,1,0,5,187.6687
B,S,1,6R,1,3,1,0,5,192.5413
B,T,1,6R,4,0,1,0,5,197.7896
B,O,1,6R,0,3,0,0,5,204.6525
B,L,1,6R,0,6,3,0,5,209.5109
B,J,1,6R,0,0,2,0,5,213.9528
B,I,1,6R,0,2,1,0,5,219.6048
B,L,1,6R,3,0,2,0,5,224.0455
B,J,1,6R,0,3,3,0,5,228.4867
B,O,1,6R,4,0,0,0,5,232.1192
B,J,1,6R,5,1,0,0,5,235.3506
B,I,1,6R,2,0,1,0,5,238.593
B,L,1,6R,0,2,0,0,5,241.8244
B,Z,1,6R,0,3,2,0,5,245.4557
B,S,1,6R,0,2,0,0,5,248.2845
B,T,1,6R,0,4,3,0,5,250.3024
B,J,1,6R,0,1,0,0,5,251.917
B,Z,1,6R,0,2,0,0,5,253.1542
B,T,1,6R,2,0,1,0,5,254.77
B,Z,1,6R,0,0,0,0,5,262.846
B,I,3,6R,5,0,1,0,0,7.420227
B,T,3,6R,5,3,4,0,0,15.49342
B,O,3,6R,0,4,0,0,0,23.58296
B,Z,3,6R,4,0,1,0,0,31.25521
B,J,3,6R,1,1,4,0,0,39.34332
B,I,3,6R,4,2,1,0,0,46.6099
B,Z,3,6R,3,3,3,0,0,53.87754
B,J,3,6R,1,4,3,0,0,61.95271
B,T,3,6R,0,5,3,1,1,70.43083
B,J,3,6R,0,2,3,0,1,78.52099
B,S,3,6R,3,0,1,0,1,85.7868
B,I,3,6R,4,1,1,1,2,93.8594
B,J,3,6R,0,2,4,0,2,101.1424
B,Z,3,6R,2,1,1,0,2,108.4097
B,I,3,6R,5,1,1,1,3,116.4846
B,L,3,6R,0,5,4,0,3,123.7804
B,O,3,6R,0,3,0,0,3,130.6689
B,S,3,6R,2,0,5,0,3,136.7249
B,Z,3,6R,2,0,1,0,3,144.0093
B,J,3,6R,0,2,3,1,4,152.4869
B,L,3,6R,0,6,3,0,4,158.9468
B,O,3,6R,1,5,0,0,4,164.5998
B,S,3,6R,2,1,3,0,4,170.252
B,Z,3,6R,3,0,3,0,4,174.6928
B,L,3,6R,0,5,4,0,4,179.5369
B,I,3,6R,5,0,1,0,4,186.4
B,L,3,6R,0,5,2,1,5,192.053
B,T,3,6R,1,1,5,0,5,198.9187
B,S,3,6R,0,3,1,0,5,205.3902
B,O,3,6R,0,3,0,0,5,209.4276
B,J,3,6R,3,4,3,0,5,215.4826
B,T,3,6R,1,0,1,0,5,221.1368
B,J,3,6R,3,0,3,0,5,225.2009
B,T,3,6R,1,1,2,0,5,230.0464
B,J,3,6R,0,0,2,0,5,235.2952
B,L,3,6R,0,1,2,0,5,239.3738
B,T,3,6R,0,2,3,0,5,243.0084
B,I,3,6R,5,0,1,0,5,248.6601
B,J,3,6R,2,0,4,1,6,253.5043
B,O,3,6R,0,3,0,0,6,257.1389
B,L,3,6R,0,3,2,0,6,259.56
B,S,3,6R,1,0,1,0,6,262.3871
B,O,3,6R,0,4,0,0,6,265.2165
B,I,3,6R,2,0,1,0,6,266.8285
B,J,3,6R,0,1,0,0,6,269.2515
B,Z,3,6R,1,2,0,0,6,271.27
B,L,3,6R,0,0,0,0,6,279.3445
D,I,2,6R,5,0,1,0,0,7.503872
D,S,2,6R,1,6,5,0,0,15.60683
D,T,2,6R,0,3,4,0,0,23.68177
D,J,2,6R,3,0,3,0,0,31.75618
D,L,2,6R,0,6,3,0,0,38.21577
D,O,2,6R,3,1,0,0,0,46.3321
D,T,2,6R,1,2,1,0,0,54.01729
D,Z,2,6R,5,0,5,0,0,60.49103
D,L,2,6R,0,1,3,0,0,68.16251
D,J,2,6R,4,0,3,2,2,75.87383
D,L,2,6R,0,6,3,0,2,82.33443
D,T,2,6R,1,4,1,0,2,90.00533
D,S,2,6R,1,0,2,0,2,98.07944
D,O,2,6R,2,0,0,0,2,104.9431
D,T,2,6R,1,1,0,0,2,112.6145
D,L,2,6R,0,3,3,0,2,120.2847
D,Z,2,6R,4,0,3,2,4,127.6081
D,I,2,6R,1,0,1,0,4,134.8743
D,O,2,6R,0,3,0,0,4,142.5466
D,I,2,6R,1,5,1,0,4,148.6303
D,O,2,6R,0,1,0,0,4,156.301
D,L,2,6R,4,2,2,2,6,163.1659
D,Z,2,6R,2,0,3,0,6,170.8363
D,L,2,6R,4,4,2,0,6,176.9478
D,J,2,6R,4,0,4,0,6,182.1967
D,I,2,6R,0,3,1,0,6,189.0605
D,L,2,6R,1,1,4,0,6,195.1159
D,O,2,6R,0,1,0,0,6,202.8011
D,L,2,6R,4,3,4,0,6,207.6592
D,O,2,6R,0,4,0,0,6,213.312
D,I,2,6R,0,2,1,0,6,220.6052
D,Z,2,6R,1,0,1,1,7,227.4697
D,J,2,6R,6,2,0,0,7,232.3159
D,Z,2,6R,5,1,2,0,7,237.1602
D,O,2,6R,2,3,0,0,7,244.4274
D,I,2,6R,0,2,1,1,8,252.1123
D,Z,2,6R,0,3,2,0,8,258.1696
D,S,2,6R,0,0,1,0,8,263.4155
D,L,2,6R,0,6,3,0,8,268.2619
D,I,2,6R,1,2,1,0,8,274.7231
D,S,2,6R,1,1,1,1,9,280.7781
D,I,2,6R,0,1,1,0,9,286.0404
D,Z,2,6R,4,2,3,1,10,291.3039
D,L,2,6R,3,5,2,0,10,295.7444
D,S,2,6R,0,5,1,0,10,300.589
D,J,2,6R,0,3,3,0,10,305.0432
D,O,2,6R,4,0,0,0,10,309.8889
D,J,2,6R,2,5,2,0,10,313.9261
D,T,2,6R,0,1,0,0,10,317.5606
D,Z,2,6R,4,0,3,0,10,321.6117
D,O,2,6R,1,5,0,0,10,324.4386
D,S,2,6R,1,0,3,0,10,327.6678
D,J,2,6R,0,1,3,0,10,330.4944
D,T,2,6R,0,4,1,0,10,332.5157
D,Z,2,6R,5,0,1,0,10,334.9622
D,I,2,6R,2,0,1,0,10,337.7894
D,O,2,6R,0,2,0,0,10,339.4046
D,I,2,6R,2,0,1,0,10,340.6193
D,Z,2,6R,0,3,4,2,12,349.023
D,T,2,6R,0,2,4,0,12,357.0989
D,J,2,6R,0,3,2,0,12,365.2005
D,T,2,6R,1,1,1,0,12,372.8726
D,J,2,6R,0,3,4,0,12,379.7505
