Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
C,S,6,8R,0,3,3,0,0,8.032478
C,T,6,8R,1,1,0,0,0,16.10795
C,S,6,8R,1,0,0,0,0,24.18217
C,I,6,8R,6,2,0,0,0,31.85325
C,O,6,8R,0,3,0,0,0,39.96802
C,J,6,8R,3,0,3,0,0,47.64102
C,S,6,8R,0,1,0,0,0,54.90707
C,T,6,8R,0,2,1,0,0,61.77029
C,O,6,8R,4,0,0,0,0,68.25909
C,J,6,8R,0,1,7,0,0,74.71854
C,O,6,8R,3,3,0,0,0,79.96741
C,J,6,8R,2,0,3,0,0,86.42783
C,J,6,8R,0,3,1,0,0,93.69482
C,I,6,8R,0,2,0,0,0,99.36084
C,L,6,8R,3,0,1,0,0,104.6093
C,Z,6,8R,3,0,2,0,0,110.262
C,I,6,8R,0,2,0,0,0,115.5099
C,L,6,8R,0,1,2,0,0,119.9514
C,T,6,8R,3,1,3,1,1,125.1997
C,S,6,8R,1,4,2,0,1,130.0442
C,I,6,8R,1,3,0,0,1,134.082
C,S,6,8R,0,1,0,0,1,138.5231
C,O,6,8R,5,1,0,0,1,142.1571
C,S,6,8R,1,0,1,0,1,146.1944
C,Z,6,8R,2,1,2,0,1,149.8277
C,I,6,8R,0,2,0,1,2,155.0768
C,L,6,8R,0,1,2,0,2,157.9028
C,J,6,8R,1,2,1,0,2,161.1319
C,T,6,8R,3,0,0,0,2,164.3625
C,J,6,8R,0,1,0,0,2,166.3808
C,T,6,8R,0,0,0,0,2,167.5919
C,L,6,8R,0,0,0,0,2,175.7091
C,I,3,8R,0,2,0,0,0,8.283263
C,T,3,8R,0,0,0,0,0,16.3718
C,O,3,8R,4,0,0,0,0,24.44703
C,Z,3,8R,3,0,1,0,0,32.5218
C,J,3,8R,0,1,3,1,1,41.82156
C,I,3,8R,3,2,0,0,1,49.08876
C,Z,3,8R,0,3,0,0,1,57.16236
C,J,3,8R,4,2,0,0,1,64.84657
C,T,3,8R,2,6,0,0,1,72.1152
C,J,3,8R,4,0,3,0,1,79.78665
C,S,3,8R,0,5,1,0,1,86.64981
C,I,3,8R,0,2,1,0,1,93.10948
C,J,3,8R,3,0,3,1,2,101.9921
C,Z,3,8R,0,3,4,1,3,109.2585
C,I,3,8R,3,2,1,0,3,116.1503
C,L,3,8R,0,3,3,0,3,123.8211
C,O,3,8R,0,1,0,0,3,130.6852
C,S,3,8R,1,0,1,0,3,137.9665
C,Z,3,8R,5,0,1,0,3,145.2474
C,J,3,8R,4,0,3,1,4,153.3221
C,L,3,8R,0,1,7,0,4,159.3785
C,O,3,8R,0,1,0,0,4,165.8658
C,S,3,8R,0,5,1,0,4,172.3259
C,Z,3,8R,3,3,3,0,4,177.5738
C,L,3,8R,0,2,3,0,4,181.2077
C,I,3,8R,1,2,0,0,4,186.8596
C,L,3,8R,2,1,3,0,4,192.9155
C,T,3,8R,4,0,1,0,4,198.164
C,S,3,8R,3,1,1,0,4,203.4126
C,O,3,8R,1,3,0,0,4,208.2578
C,J,3,8R,5,0,2,0,4,212.6987
C,T,3,8R,2,2,0,0,4,215.5251
C,J,3,8R,0,0,0,0,4,217.5438
C,T,3,8R,3,1,0,0,4,220.7732
C,J,3,8R,0,3,1,0,4,225.6181
C,L,3,8R,0,0,0,0,4,226.8434
C,T,3,8R,0,0,0,0,4,234.918
C,T,5,8R,0,4,0,0,0,7.823673
C,Z,5,8R,0,3,3,0,0,15.50811
C,J,5,8R,0,0,0,0,0,23.58328
C,L,5,8R,0,6,3,0,0,30.44667
C,I,5,8R,4,0,0,0,0,38.92521
C,O,5,8R,1,2,0,1,1,48.21109
C,I,5,8R,4,0,0,0,1,56.68967
C,T,5,8R,1,0,0,0,1,64.36147
C,L,5,8R,3,0,1,0,1,71.62803
C,S,5,8R,2,2,1,1,2,80.50963
C,T,5,8R,1,3,0,0,2,88.18077
C,L,5,8R,0,5,2,0,2,95.04456
C,S,5,8R,0,1,1,0,2,102.3114
C,J,5,8R,1,3,3,0,2,109.1749
