Condition,BlockType,FromSeq,LatinBalance,TLeft,TRight,NumRotations,CLine,NCLine,TimeToComplete
A,J,4,4,5,1,0,0,0,7.991066
A,S,4,4,3,3,3,0,0,16.06572
A,I,4,4,0,0,0,0,0,24.54423
A,T,4,4,6,3,3,0,0,31.81141
A,O,4,4,0,4,0,0,0,39.88644
A,I,4,4,1,1,0,1,1,49.57598
A,S,4,4,1,1,3,1,2,58.86185
A,I,4,4,0,0,0,0,2,67.34039
A,J,4,4,0,3,1,0,2,75.41515
A,Z,4,4,5,0,1,1,3,84.70126
A,T,4,4,0,1,0,0,3,92.77573
A,L,4,4,0,4,1,0,3,100.4466
A,I,4,4,8,3,1,1,4,108.9258
A,S,4,4,0,1,0,0,4,116.9998
A,L,4,4,0,3,3,0,4,124.6709
A,Z,4,4,0,3,1,0,4,132.7456
A,O,4,4,3,1,0,1,5,142.0316
A,Z,4,4,0,2,0,1,6,151.3174
A,T,4,4,0,0,1,0,6,158.9883
A,L,4,4,1,0,2,0,6,166.6877
A,O,4,4,0,4,0,1,7,175.9737
A,Z,4,4,4,0,0,1,8,185.2597
A,L,4,4,0,3,4,0,8,193.3346
A,O,4,4,0,4,0,0,8,201.0051
A,J,4,4,2,2,4,0,8,208.6759
A,L,4,4,0,0,3,0,8,216.3469
A,I,4,4,5,0,1,1,9,224.8257
A,J,4,4,0,1,0,0,9,232.4969
A,Z,4,4,4,0,1,0,9,240.1678
A,S,4,4,0,1,0,1,10,249.0501
A,J,4,4,1,3,0,0,10,256.7211
A,T,4,4,0,5,3,0,10,263.9883
A,Z,4,4,0,2,1,1,11,272.8701
A,J,4,4,2,2,4,0,11,280.1381
A,T,4,4,3,0,5,0,11,287.406
A,S,4,4,1,0,1,0,11,294.6727
A,I,4,4,5,0,3,1,12,302.747
A,J,4,4,3,4,4,0,12,310.0147
A,S,4,4,0,5,1,0,12,317.2814
A,J,4,4,1,0,3,1,13,326.1638
A,O,4,4,1,3,0,1,14,335.0454
